"Acquisition_Date","Site","Description","Passwords"
"2020-06-01T00:00:00Z","Verified.Cash","At an unconfirmed date, the now-defunct hacking forum Verified.Cash was allegedly leaked on a dark web forum. The data contains IPs, salts, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","24630"
"2020-04-09T00:00:00Z","The Oxford School - Panama","At an unconfirmed date, the Panama-based private school the Oxford School - Panama was allegedly breached. The stolen data contains email addresses, passwords, usernames and additional personal information. This breach is being privately shared on the internet.","2413"
"2020-06-27T00:00:00Z","Limian","In October 2014, the defunct Chinese website Limian was allegedly breached. The stolen data contains salts, passwords and additional personal information. This breach is being privately shared on the internet.","145634"
"2020-08-01T00:00:00Z","Ivoy","At an unconfirmed date, the Mexican express courier service Ivoy was allegedly breached. The stolen data contains passwords and email addresses. This breach is being privately shared on the internet.","127165"
"2020-06-28T00:00:00Z","Everycoin","At an unconfirmed date, the marketing website associated with the cryptocurrency Everycoin was allegedly breached. The stolen data contains email addresses. This breach is being privately shared on the internet.","189851"
"2020-03-17T00:00:00Z","Parliament of Georgia","At an unconfirmed date, the Parliament of Georgia's website was allegedly breached. The stolen data contains IPs, passwords, usernames, email addresses and additional personal information. This breach is being privately shared on the internet.","381"
"2020-05-18T00:00:00Z","YouHack","In May 2013, the Russian-language online gaming forum YouHack was allegedly breached. The stolen data contains usernames, IPs, passwords, salts, email addresses and additional personal information. This breach is being privately shared on the internet.","106622"
"2020-07-27T00:00:00Z","TrueFire","In January 2020, the online guitar lessons platform TrueFire was allegedly breached. The stolen data contains email addresses and additional personal information. This breach is being privately shared on the internet.","602861"
"2020-04-20T00:00:00Z","Leaked Facebook Account Info","At an unconfirmed date, a list of purported Facebook user details was shared on a dark web forum. The stolen data contains email addresses and additional personal information. This leaked data is being privately shared on the internet.","0"
"2020-07-27T00:00:00Z","Scentbird","In June 2020, the monthly perfume subscription service Scentbird was allegedly breached. The stolen data contains passwords, usernames, email addresses and additional personal information. This breach is being privately shared on the internet.","5815333"
"2020-07-27T00:00:00Z","Vakinha","In June 2020, the Brazilian crowdfunding portal Vakinha was allegedly breached. The stolen data contains IPs, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","3841348"
"2020-07-27T00:00:00Z","Drizly","In July 2020, the online alcoholic beverage retailer Drizly was allegedly breached. The stolen data contains passwords, email addresses, IPs and additional personal information. This breach is being privately shared on the internet.","2467219"
"2020-07-27T00:00:00Z","Appen","In June 2020, the Australian technology company Appen was allegedly breached. The stolen data contains passwords, email addresses, IPs, salts and additional personal information. This breach is being privately shared on the internet.","1061322"
"2020-07-27T00:00:00Z","Havenly","In June 2020, the online interior design service Havenly was allegedly breached. The stolen data contains passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","1209584"
"2020-07-23T00:00:00Z","Promo.com","In July 2020 the brand content creation service Promo.com was allegedly breached. The stolen data contains email addresses and passwords. This breach is being privately shared on the internet.","2641313"
"2020-07-23T00:00:00Z","Hurb","In March 2019, the Brazilian travel agency Herb was allegedly breached. The stolen data contains email addresses and passwords. This breach is being privately shared on the internet.","6155894"
"2020-07-27T00:00:00Z","Dave","In June 2020, the digital banking service Dave was allegedly breached. The stolen data contains email addresses and passwords. This breach is being privately shared on the internet.","3656086"
"2020-07-29T00:00:00Z","Crypt Bot","CryptBot is a stealer that affects Windows users. It is typically delivered via exploit kit and can compromise passwords, browsing history, cryptocurrency, private messages, screenshots and other personal data from affected users.","36073"
"2020-04-15T00:00:00Z","EJCM","In 2018, Japanese National Federation of Civil Engineering Construction Management Engineers (EJCM) was allegedly breached. The stolen data contains passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","42428"
"2020-07-23T00:00:00Z","Swvl","In July 2020, the Egyptian ride-sharing app swvl was allegedly breached. The stolen data contains email addresses, passwords and additional personal information. This breach is being privately shared on the internet.","3359761"
"2020-07-29T00:00:00Z","Azorult Botnet","AzorUlt is a lesser known credential stealing botnet, also known as crimeware. This malware steals data from infected computers via web browsers and protected storage. Once infected, the computer sends the stolen data to a bot command and control (C&C) server, where the data is stored. Any credentials from this source can be assumed to already be in the hands of threat actors, and should be changed immediately.","628366"
"2017-04-25T00:00:00Z","StarNet","In February 2015, the Moldovan internet service provider StarNet was allegedly breached. The stolen data contains and additional personal information. This breach is being privately shared on the internet.","0"
"2020-07-16T00:00:00Z","LiveAuctioneers","In June 2020, the online marketplace LiveAuctioneers was allegedly breached. The stolen data contains email addresses, usernames, passwords and additional personal information. This breach is being privately shared on the internet.","3328758"
"2020-07-16T00:00:00Z","Yotepresto","At an unconfirmed date, the Mexico-based personal loan service Yotepresto was allegedly breached. The stolen data contains usernames, IPs, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","1444555"
"2020-07-16T00:00:00Z","Dunzo","In June 2020, the India-based delivery app Dunzo was allegedly breached. The stolen data contains email addresses, passwords and additional personal information. This breach is being privately shared on the internet.","33287"
"2020-07-16T00:00:00Z","Kreditplus","At an unconfirmed date, the Indonesian loan service Kreditplus was allegedly breached. The stolen data contains email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2020-07-16T00:00:00Z","Catho","In June 2020, the Brazilian job recruiting site Catho was allegedly breached. The stolen data contains usernames, email addresses and additional personal information. This breach is being privately shared on the internet.","2120285"
"2020-07-14T00:00:00Z","Wattpad","In June 2020, the online writing community Wattpad was allegedly breached. The stolen data contains usernames, IPs, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","192541981"
"2020-07-21T00:00:00Z","Azorult Botnet","AzorUlt is a lesser known credential stealing botnet, also known as crimeware. This malware steals data from infected computers via web browsers and protected storage. Once infected, the computer sends the stolen data to a bot command and control (C&C) server, where the data is stored. Any credentials from this source can be assumed to already be in the hands of threat actors, and should be changed immediately.","400475"
"2020-06-10T00:00:00Z","GSM Service","In February 2019, the Russian phone accessories retailer GSM Service was allegedly breached. The stolen data contains passwords, usernames, email addresses and additional personal information. This breach is being privately shared on the internet.","30970"
"2020-04-22T00:00:00Z","Brain","At an unconfirmed date, the Korean global marketplace Brain was allegedly breached. The stolen data contains passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","12078"
"2020-05-07T00:00:00Z","Shenzhen Xindaba Electronics Co.","In May 2020, the Chinese technology manufacturer Shenzhen Xindaba Electronics Co was allegedly breached. The stolen data contains personal information. This breach is being privately shared on the internet.","0"
"2020-07-14T00:00:00Z","Azorult Botnet","AzorUlt is a lesser known credential stealing botnet, also known as crimeware. This malware steals data from infected computers via web browsers and protected storage. Once infected, the computer sends the stolen data to a bot command and control (C&C) server, where the data is stored. Any credentials from this source can be assumed to already be in the hands of threat actors, and should be changed immediately.","201572"
"2020-04-23T00:00:00Z","Chinese Credit Card Leak","At an unconfirmed date, unverified Chinese credit card data was allegedly leaked on a private Telegram channel.","0"
"2020-05-07T00:00:00Z","The Last Door","In May 2020, someone posted a leaked user table belonging to the video game The Last Door. The unverified data contains usernames, passwords, IPs, salts, email addresses and additional personal information. This data is being privately shared on the internet.","130933"
"2020-04-14T00:00:00Z","Cyfrowe","At an unconfirmed date, the Polish camera retailer Cyfrowe was allegedly breached. The stolen data contains passwords and email addresses. This breach is being privately shared on the internet.","42954"
"2020-04-24T00:00:00Z","MskPhone","At an unconfirmed date, data purportedly associated with the Russian public records search engine MskPhone was leaked on a private Telegram channel. The data contains email addresses and additional personal information.","0"
"2020-06-10T00:00:00Z","Ð£Ð½Ð¸Ð²ÐµÑ€ÑÐ¸Ñ‚ÐµÑ‚ ÑÐ¸Ð½ÐµÑ€Ð³Ð¸Ñ","At an unconfirmed date, the Russian university Ð£Ð½Ð¸Ð²ÐµÑ€ÑÐ¸Ñ‚ÐµÑ‚ ÑÐ¸Ð½ÐµÑ€Ð³Ð¸Ñ was allegedly breached. The stolen data contains passwords, usernames, email addresses and additional personal information. This breach is being privately shared on the internet.","449214"
"2020-04-23T00:00:00Z","Ongab","At an unconfirmed date, the Russian gaming social network Ongab was allegedly breached. The stolen data contains passwords, IPs and additional personal information. This breach is being privately shared on the internet.","78372"
"2020-04-23T00:00:00Z","HostGator.in","At an unconfirmed date, someone posted a user database allegedly belonging to the Indian subsidiary of web hosting provider HostGator. This information could not be completely verified to be from Hostgator.in at this time. The leaked data contains passwords, email addresses, salts, and usernames. This breach is being privately shared on the internet.","2984"
"2020-04-22T00:00:00Z","Brick Hill","In January 2017, the online video game Brick Hill was allegedly breached. The stolen data contains passwords, email addresses, IPs, and usernames. This breach is being privately shared on the internet.","1566"
"2020-04-30T00:00:00Z","Gigaflat","In January 2015, the website for the now-defunct Usenet downloader Gigaflat was allegedly breached. The stolen data contains passwords and email addresses. This breach is being privately shared on the internet.","124831"
"2020-07-01T00:00:00Z","DanGuitar","At an unconfirmed date, the Danish musical instrument-retailer DanGuitar was allegedly breached. The stolen data contains usernames, passwords, and email addresses. This breach is being privately shared on the internet.","23"
"2020-07-08T00:00:00Z","Azorult Botnet","AzorUlt is a lesser known credential stealing botnet, also known as crimeware. This malware steals data from infected computers via web browsers and protected storage. Once infected, the computer sends the stolen data to a bot command and control (C&C) server, where the data is stored. Any credentials from this source can be assumed to already be in the hands of threat actors, and should be changed immediately.","571103"
"2020-04-29T00:00:00Z","Film Solutions","At an unconfirmed date, the talent management firm Film Solutions was allegedly breached. The stolen data contains passwords, email addresses, usernames and additional personal information. This breach is being privately shared on the internet.","27307"
"2020-06-10T00:00:00Z","Chinese Site Breach Compilation","In June 2020, a compilation of breached data from 2014 from several Chinese websites was posted to an online hacking forum. The stolen data contains usernames, passwords, and email addresses. This breach is being privately shared on the internet.","133260908"
"2020-05-06T00:00:00Z","Fakultas Ilmu Komputer","At an unconfirmed date, the University of Indonesia's Department of Computer Science was allegedly breached. The stolen data contains passwords, usernames and additional personal information. This breach is being privately shared on the internet.","48"
"2020-04-28T00:00:00Z","ФОрум вОкруг да ОкОлО","At an unconfirmed date, the Russian investing forum ФОрум вОкруг да ОкОлО was allegedly breached. The stolen data contains IPs, usernames, email addresses and additional personal information. This breach is being privately shared on the internet.","1245"
"2020-04-29T00:00:00Z","Royal Resorts","At an unconfirmed date, the timeshare collection Royal Resorts was allegedly breached. The stolen data contains email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2020-05-06T00:00:00Z","Chilsung Junwoo-Chilsung Trading","In May 2020, the Chilsung Junwoo-Chilsung Trading shopping mall was allegedly breached. The stolen data contains email addresses and additional personal information. This breach is being privately shared on the internet.","6511"
"2020-07-01T00:00:00Z","StudyPhim","At an unconfirmed date, the Vietnamese online English language-learning platform StudyPhim was allegedly breached. The stolen data contains usernames, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","248570"
"2020-04-29T00:00:00Z","Affordable Mantel","In September 2019, the windscreen supplier Affordable Mantel was allegedly breached. The stolen data contains passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","129"
"2020-04-30T00:00:00Z","Akemail","At an unconfirmed date, the French email provider Akemail was allegedly breached. The stolen data contains and email addresses. This breach is being privately shared on the internet.","0"
"2020-06-15T00:00:00Z","Gamecard","At an unconfirmed date, the Vietnamese game card shop Gamecard was allegedly breached. The stolen data contains passwords, usernames, and email addresses. This breach is being privately shared on the internet.","2612981"
"2020-06-15T00:00:00Z","Freegame2017 Forum","At an unconfirmed date, the French-language online gaming forum Freegame2017 was allegedly breached. The stolen data contains email addresses and passwords. This breach is being privately shared on the internet.","828397"
"2020-04-29T00:00:00Z","Affordable Table Pads","At an unconfirmed date, the table pads supplier Affordable Table Pads was allegedly breached. The stolen data contains email addresses, passwords and additional personal information. This breach is being privately shared on the internet.","1042"
"2020-07-01T00:00:00Z","Azorult Botnet","AzorUlt is a lesser known credential stealing botnet, also known as crimeware. This malware steals data from infected computers via web browsers and protected storage. Once infected, the computer sends the stolen data to a bot command and control (C&C) server, where the data is stored. Any credentials from this source can be assumed to already be in the hands of threat actors, and should be changed immediately.","567065"
"2020-05-24T00:00:00Z","ICA Arab","At an unconfirmed date, the Arab financial association ICA Arab was allegedly breached. The stolen data contains usernames, email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2020-04-29T00:00:00Z","Cryptonit","At an unconfirmed date, the Czech cloud mining website Cryptonit was allegedly breached. The stolen data contains email addresses and passwords. This breach is being privately shared on the internet.","2117"
"2020-05-07T00:00:00Z","Canal Educatif Ã la Demande","At an unconfirmed date, the French cultural project Canal Educatif Ã la Demande was allegedly breached. The stolen data contains passwords, email addresses, and usernames. This breach is being privately shared on the internet.","75460"
"2020-05-24T00:00:00Z","Onionring","At an unconfirmed date, the Manchester, UK restaurant guide Onionring was allegedly breached. The stolen data contains email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2020-04-29T00:00:00Z","Affordable Window Screens","In April 2019, the window screen supplier Affordable Window Screens was allegedly breached. The stolen data contains email addresses, passwords and additional personal information. This breach is being privately shared on the internet.","9774"
"2020-05-12T00:00:00Z","U.S. Citizen Resume Data","At an unconfirmed date, an unspecified set of U.S. resume data was posted to an online hacking forum. This is a 1,200,000-row block of text that appears to include data from resumes as well as other personal information belonging to U.S. citizens.","0"
"2020-06-24T00:00:00Z","Azorult Botnet","AzorUlt is a lesser known credential stealing botnet, also known as crimeware. This malware steals data from infected computers via web browsers and protected storage. Once infected, the computer sends the stolen data to a bot command and control (C&C) server, where the data is stored. Any credentials from this source can be assumed to already be in the hands of threat actors, and should be changed immediately.","498090"
"2020-06-24T00:00:00Z","Smoke Loader","Smoke Loader is a malware bot that is capable of a variety of actions including downloading and executing additional malware on its own, receiving and relaying commands from a command and control (C2) server, stealing login information, logging keystrokes, and acting as a node in Distributed Denial of Service (DDoS) attack. The loader also has ransomware capabilities.","1013915"
"2020-05-11T00:00:00Z","Habr Career","At an unconfirmed date, the Russian IT recruiting platform Habr Career was allegedly breached. The stolen data contains emails and additional personal information. This breach is being privately shared on the internet.","0"
"2020-06-04T00:00:00Z","PeopleOrgâ„¢","In March 2020, the workflow automation project PeopleOrgâ„¢ was allegedly breached. The stolen data contains email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2020-05-20T00:00:00Z","BinWeevils 2017 Breach","In 2017, the online children's multiplayer video game BinWeevils was allegedly breached. The stolen data contains usernames, passwords and additional personal information. This breach is being privately shared on the internet.","6948221"
"2020-05-27T00:00:00Z","Roblox","In 2016, the online game platform Roblox was allegedly breached. The stolen data contains email addresses, usernames, IPs and additional personal information. This breach is being privately shared on the internet.","0"
"2020-05-18T00:00:00Z","Antichat","In December 2013, a user database associated with the Russian hacking forum Antichat was allegedly breached. The stolen data contains passwords, IPs, usernames and additional personal information. This breach is being privately shared on the internet.","27495"
"2020-05-15T00:00:00Z","Ukrainian Citizen Personal Data","At an unconfirmed date, a database of Ukrainian citizen data was uploaded to an online hacking forum. This breach is being privately shared on the internet.","0"
"2020-05-19T00:00:00Z","Spain B2B Directory","At an unconfirmed date, a database containing Spanish B2B information was uploaded to an online hacking forum. The stolen data contains email addresses, names, zip codes, town, region, URL, town and additional personal information. This breach is being privately shared on the internet.","0"
"2020-05-09T00:00:00Z","Telegram Users","At an unconfirmed date, a database of Telegram users' information was uploaded to an online hacking forum. The stolen data contains usernames, first names, last names, phone numbers, and last online information. This breach is being privately shared on the internet.","0"
"2020-05-20T00:00:00Z","MyBBDizayn","In May 2020, the MyBB design website MyBBDizayn was allegedly breached. The stolen data contains usernames, passwords, email addresses, salts, IPs and additional personal information. This breach is being privately shared on the internet.","296"
"2020-06-03T00:00:00Z","Daniel 's Hosting","In March 2020, Daniel's Hosting (DH - the largest free web hosting provider for dark web services) was allegedly breached. The stolen data contains usernames, passwords and additional personal information. On March 26, two weeks after the breach, DH shut down its service for good, urging users to move their sites to new dark web hosting providers. This breach is being privately shared on the internet.","7165"
"2020-05-29T00:00:00Z","Letfan","At an unconfirmed date, the social media influencer platform Letfan was allegedly breached. The stolen data contains usernames, email addresses, passwords, IPs and additional personal information. This breach is being privately shared on the internet.","122582"
"2020-05-22T00:00:00Z","Polish Trans Server","In May 2020, the Polish-language forum Polish Trans Server was allegedly breached. The stolen data contains usernames, passwords, email addresses, salts, IPs and additional personal information. This breach is being privately shared on the internet.","5918"
"2020-06-16T00:00:00Z","Azorult Botnet","AzorUlt is a lesser known credential stealing botnet, also known as crimeware. This malware steals data from infected computers via web browsers and protected storage. Once infected, the computer sends the stolen data to a bot command and control (C&C) server, where the data is stored. Any credentials from this source can be assumed to already be in the hands of threat actors, and should be changed immediately.","241382"
"2020-05-20T00:00:00Z","Make Station","In May 2020, the online art forum Make Station was allegedly breached. The stolen data contains usernames, passwords, email addresses, salts, IPs and additional personal information. This breach is being privately shared on the internet.","454"
"2020-03-23T00:00:00Z","USA Medical Records","In March 2020, thousands of US citizen medical records were leaked to a Russian forum, potentially linked to an unknown Florida hospital. The information contains names, SSNs, addresses, account balances, and claim numbers.","0"
"2020-05-20T00:00:00Z","NYSE stock brokers","In May 2020, a list of New York Stock Exchange stock brokers was allegedly leaked. The stolen data contains and additional personal information. This breach is being privately shared on the internet.","0"
"2020-05-20T00:00:00Z","Motocare","At an unconfirmed date, the Argentine motorcycle trading website Motocare was allegedly breached. The stolen data contains passwords and email addresses. This breach is being privately shared on the internet.","36759"
"2020-05-12T00:00:00Z","Libre Craft","In May 2020, the Spanish-language Minecraft server Libre Craft was allegedly breached. The stolen data contains usernames and additional personal information. This breach is being privately shared on the internet.","0"
"2020-05-15T00:00:00Z","D3scene 2019 leak","In June 2019, the online gaming forum D3scene was allegedly breached. The stolen data contains usernames, passwords, IPs, salts, email addresses and additional personal information. This breach is being privately shared on the internet.","970233"
"2020-05-12T00:00:00Z","Arbibot","At an unconfirmed date, the Korean cryptocurrency trading website Arbibot was allegedly breached. The stolen data contains passwords and email addresses. This breach is being privately shared on the internet.","3032"
"2020-05-12T00:00:00Z","Cloudsdale","At an unconfirmed date, the online My Little Pony community Cloudsdale was allegedly breached. The stolen data contains usernames, passwords, salts, and email addresses. This breach is being privately shared on the internet.","72756"
"2020-05-15T00:00:00Z","Ausilium","In August 2019, the Italian online store Ausilium was allegedly breached. The stolen data contains email addresses and additional personal information. This breach is being privately shared on the internet.","105528"
"2020-05-18T00:00:00Z","GameSS","At an unconfirmed date, the Korean gaming website GameSS was allegedly breached. The stolen data contains usernames, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","1948660"
"2020-05-18T00:00:00Z","CalcioShop","In October 2019, the Italian online sneaker shop CalcioShop was allegedly breached. The stolen data contains email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2020-05-12T00:00:00Z","Brazilan Marines","At an unconfirmed date, a database containing the identities of members of the Brazilian Marines was allegedly breached. The stolen data contains military position, usernames, passwords, salts, and email addresses. This breach is being privately shared on the internet.","72756"
"2020-06-10T00:00:00Z","Azorult Botnet","AzorUlt is a lesser known credential stealing botnet, also known as crimeware. This malware steals data from infected computers via web browsers and protected storage. Once infected, the computer sends the stolen data to a bot command and control (C&C) server, where the data is stored. Any credentials from this source can be assumed to already be in the hands of threat actors, and should be changed immediately.","876614"
"2020-05-19T00:00:00Z","100k German Consumers","At an unconfirmed date, personal information belonging to over 100,000 alleged German foreign exchange traders was leaked on an online hacking forum. The stolen data contains email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2020-05-12T00:00:00Z","Investor Place","In January 2018, the online investing website Investor Place was allegedly breached. The stolen data contains usernames, passwords, and email addresses. This breach is being privately shared on the internet.","204150"
"2020-04-22T00:00:00Z","Five Tier","At an unconfirmed date, the connected media platform Five Tier was allegedly breached. The stolen data contains passwords and email addresses. This breach is being privately shared on the internet.","187194"
"2020-04-24T00:00:00Z","40k US PII leak","At an unconfirmed date, an unspecified database of 40,000 U.S. persons' data was posted to an online hacking forum. The stolen data contains names, addresses, city, state, zip code, date of birth and additional personal information. and additional personal infomation. This breach is being privately shared on the internet.","0"
"2020-04-24T00:00:00Z","Affiliates Den","At an unconfirmed date, the now-defunct internet marketing service Affiliates Den was allegedly breached. The stolen data contains usernames, email addresses and additional personal information. This breach is being privately shared on the internet.","5347"
"2020-04-17T00:00:00Z","Experion.pl","In March 2020, the Polish online video game and accessories store Experion was allegedly breached. The stolen data contains passwords, salts, email addresses and additional personal information. This breach is being privately shared on the internet.","248048"
"2020-05-12T00:00:00Z","Jeep Forum","At an unconfirmed date, the online car forum Jeep Forum was allegedly breached. The stolen data contains usernames, passwords, salts, and email addresses. This breach is being privately shared on the internet.","851737"
"2020-04-20T00:00:00Z","SoftPlus","At an unconfirmed date, the now-defunct South Korean online software store SoftPlus was allegedly breached. The stolen data contains usernames, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","849"
"2020-05-21T00:00:00Z","Action Network","In January 2020, the online sports betting platform Action Network was allegedly breached. The stolen data contains usernames, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","479967"
"2020-05-15T00:00:00Z","SonicBids","In January 2020, the online music promotion platform SonicBids was allegedly breached. The stolen data contains usernames, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","612903"
"2020-04-23T00:00:00Z","Bet Fame","At an unconfirmed date, the online sports betting platform Bet Fame was allegedly breached. The stolen data contains IPs, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","13684"
"2020-04-23T00:00:00Z","FlashGames.it","In March 2020, the Italian video game community FlashGames.it was allegedly breached. The stolen data contains passwords and email addresses. This breach is being privately shared on the internet.","1967673"
"2020-04-17T00:00:00Z","Kids Parties","In August 2019, the UK-based children's party supplier Kids Parties was allegedly breached. The stolen data contains usernames, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","66"
"2020-04-22T00:00:00Z","Bet 365","At an unconfirmed date, the Chinese sports betting website Bet 365 was allegedly breached. The stolen data contains usernames, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","1659"
"2020-05-19T00:00:00Z","Foodora","In 2019, the online food delivery service Foodora was allegedly breached. The stolen data contains usernames, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","367572"
"2020-04-22T00:00:00Z","Mala Moda","At an unconfirmed date the Polish children's clothing store Mala Moda was allegedly breached. The stolen data contains passwords and email addresses. This breach is being privately shared on the internet.","441"
"2020-04-22T00:00:00Z","ITCE 19","At an unconfirmed date, the official website of the Iranian energy conference International Transformer Conference and Exhibition (ITCE 19) was allegedly breached. The stolen data contains usernames, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","87"
"2020-04-20T00:00:00Z","Magia Musica","At an unconfirmed date, the Polish music boutique Magia Musica was allegedly breached. The stolen data contains passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","1308"
"2020-04-22T00:00:00Z","Interactive.Film","At an unconfirmed date, the Russian interactive site Interactive.Film was allegedly breached. The stolen data contains usernames, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","2846"
"2020-05-07T00:00:00Z","Stalker Online","In January 2020, the Russian multiplayer video game Stalker Online was allegedly breached. The stolen data contains usernames, IPs, passwords, and email addresses. This breach is being privately shared on the internet.","32553"
"2020-05-21T00:00:00Z","Wishbone","In January 2020, the online poll website Wishbone was allegedly breached. The stolen data contains usernames, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","10648734"
"2020-05-27T00:00:00Z","Azorult Botnet","AzorUlt is a lesser known credential stealing botnet, also known as crimeware. This malware steals data from infected computers via web browsers and protected storage. Once infected, the computer sends the stolen data to a bot command and control (C&C) server, where the data is stored. Any credentials from this source can be assumed to already be in the hands of threat actors, and should be changed immediately.","1530174"
"2020-04-22T00:00:00Z","Mexican Ministry of Urban Development and Housing","At an unconfirmed date, the official website of the Mexican Secretary of Urban Development and Housing was allegedly breached. The stolen data contains usernames, email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2020-05-23T00:00:00Z","Mathway","In January 2020, the online math problem solving app Mathway was allegedly breached. The stolen data contains usernames, IPs, passwords, and email addresses. This breach is being privately shared on the internet.","16868246"
"2020-04-20T00:00:00Z","Unknown Shopping Site Leak","In April 2019, a dump of unspecified U.S. customer information was posted to an online hacking forum. The stolen data contains usernames, email addresses, and additional personal information. This breach is being privately shared on the internet.","0"
"2020-04-22T00:00:00Z","WHO / Gates Foundation leak","In April 2019, a list of link containing purported WHO and Gates Foundation data was posted to an online hacking forum. The stolen data contains passwords and email addresses. This breach is being privately shared on the internet.","3248"
"2020-05-19T00:00:00Z","Zoomcar","In July 2018, car-sharing service ZoomCar was allegedly breached. The stolen data contains IPs, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","3585767"
"2020-04-08T00:00:00Z","VIP Store","At an unconfirmed date, the Chinese marketing platform VIP Store was allegedly breached. The stolen data contains passwords and email addresses. This breach is being privately shared on the internet.","481197"
"2020-05-20T00:00:00Z","Smoke Loader","Smoke Loader is a malware bot that is capable of a variety of actions including downloading and executing additional malware on its own, receiving and relaying commands from a command and control (C2) server, stealing login information, logging keystrokes, and acting as a node in Distributed Denial of Service (DDoS) attack. The loader also has ransomware capabilities.","909390"
"2020-03-17T00:00:00Z","Construction Expert","In March 2020, the Russian architectural portal Construction Expert was allegedly breached. The stolen data contains email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2020-04-22T00:00:00Z","Game 51","In September 2016, the gaming platform Game 51 was allegedly breached. The stolen data contains usernames, IPs, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2020-04-27T00:00:00Z","Awesomenauts","In June 2019, the video game Awesomenauts was allegedly breached. The stolen data contains usernames, IPs, passwords, and email addresses. This breach is being privately shared on the internet.","26900"
"2020-04-17T00:00:00Z","AnimeWeb","In August 2019, the Hungarian anime website AnimeWeb was allegedly breached. The stolen data contains usernames, passwords, and email addresses. This breach is being privately shared on the internet.","19172"
"2020-05-08T00:00:00Z","MeFeedia","At an unconfirmed date, the media search engine MeFeedia was allegedly breached. The stolen data contains usernames, passwords, IPs, email addresses and additional personal information. This breach is being privately shared on the internet.","1643520"
"2020-04-20T00:00:00Z","BitRewards","In April 2020, the e-commerce platform BitRewards was allegedly breached. The stolen data contains passwords, email addresses and additional personal information. This breach is being publicly shared on the internet.","459603"
"2020-04-27T00:00:00Z","AlienBoot","In February 2020, the DDoS for hire database AlienBoot was allegedly breached. The stolen data contains usernames, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","4222"
"2020-04-15T00:00:00Z","VK (vKontakte) 2020 leak","At some time in 2020, the Russian social networking website vKontakte was allegedly breached. The stolen data contains email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2020-04-10T00:00:00Z","New Coins 168","In April 2020, the Chinese cryptocurrency platform New Coins 168 was allegedly breached. The stolen data contains passwords and email addresses. This breach is being publicly shared on the internet.","68932"
"2020-04-17T00:00:00Z","Square Enix","In January 2015, the Japanese video game company Square Enix was allegedly breached. The stolen data contains usernames, passwords, and email addresses. This breach is being publicly shared on the internet.","1887506"
"2019-06-12T00:00:00Z","Sentry MBA","At an unconfirmed date, the online credential stuffing community Sentry MBA was allegedly breached. The stolen data contains usernames, IPs, passwords, salts, and email addresses. This breach is being privately shared on the internet.","18734"
"2020-04-22T00:00:00Z","Silkroad Online","In January 2012, the MMORPG game Silkroad Online's database was allegedly breached. The stolen data contains usernames, passwords, and email addresses. This breach is being privately shared on the internet.","4559075"
"2020-04-12T00:00:00Z","Adbit","In April 2020, the the Bitcoin-powered ad network Adbit was allegedly breached. The stolen data contains usernames, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","256337"
"2020-04-25T00:00:00Z","MASmusculo","At an unconfirmed date, the Spanish supplement retailer MASmusculo was allegedly breached. The stolen data contains passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","483678"
"2020-05-10T00:00:00Z","Minted","In May 2020, the hacking group “ShinyHunters” claimed to have breached several companies and began selling their users' information on a dark web marketplace. One of their victims, the online stationary studio Minted, was included in this list. The stolen data contains usernames, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","4341387"
