"Website","LineCount","HashType","Category"
"gas01.minobr.ru","5.476","HASH","Business"
"gaspricewatch.com","89.233","NOHASH","Business"
"gastein-anna.com","18.502","HASH","Travel"
"gastro-edelstahl.de","1.444","HASH+NOHASH","Business"
"gastro-seller.de","20.831","HASH","Shopping"
"gastronomija.info","15.844","HASH","Restaurant"
"gata-www.gataweb.com","3.816","HASH+NOHASH","Social"
"gatewayland.com.au","17.376","HASH","Real Estate"
"gavrilos-kouzina.gr","4.064","HASH","Business"
"gay-kennt-wen.de","15.758","NOHASH","Adult"
"gayguide.gr","1.829","HASH","Entertainment"
"gayhot.com","5.815","NOHASH","Adult"
"gayhot.com","6.452","NOHASH","Adult"
"gaynic.es","1.079","NOHASH","Business"
"gazettejournal.net","2.373","HASH","Media"
"gbexcomercial.com.br","1.147","NOHASH","Shopping"
"gbook.lviv.ua","2.462","HASH","Travel"
"gbrworkwear.com","12.626","HASH+NOHASH","Shopping"
"gcaofhawaii.net","1.455","HASH+NOHASH","IT"
"gcbbang.co.kr","1.628","NOHASH","Business"
"gcf.de","10.440","HASH+NOHASH","IT"
"gdcemballages.com","3.786","HASH+NOHASH","Business"
"gdjsls.com","1.852","HASH+NOHASH","NoCategory"
"geachem.com","32.537","HASH+NOHASH","Business"
"geachem.rs","38.601","HASH+NOHASH","Business"
"gear-box.com","1.911","HASH+NOHASH","Business"
"gearpig.co.uk","1.039","HASH+NOHASH","NoCategory"
"gebaeudereinigung.at","2.758","NOHASH","Shopping"
"geek-test.com","19.845","HASH","Business"
"geekokdo.com","1.804","HASH+NOHASH","Games"
"geislerrealty.com","1.086","NOHASH","Real Estate"
"gekinavi.net","1.281","HASH+NOHASH","Reference"
"gelionn.ru","4.155","HASH+NOHASH","Information Technology"
"gemmaline.com","2.387","HASH","Games"
"gen2007-mag2011.partecipami.it","4.877","HASH+NOHASH","Organizations&Government"
"genbank.at","2.929","HASH","Social"
"generationsonline.org","2.132","HASH","Organizations&Government"
"generator.zvladnusam.cz","2.301","HASH","Business"
"genetikkportalen.no","7.715","HASH+NOHASH","Business"
"genierentals.com","5.907","HASH+NOHASH","NoCategory"
"geniusz.hu","19.253","NOHASH","Shopping"
"gentedirispetto.com","1.938","HASH","Adult"
"gentek.com","12.537","HASH+NOHASH","Business"
"geo.groupephr.net","4.429","HASH+NOHASH","Business"
"geocachingspain.es","16.411","HASH","Entertainment"
"geodezia.msk.ru","2.677","HASH+NOHASH","Business"
"geoflor.ru","2.251","HASH","Shopping"
"geomachi.com","26.795","HASH+NOHASH","Adult"
"geomorphology.ru","1.119","HASH","Business"
"georgeusedcarparts.co.za","2.827","NOHASH","Auto"
"georgia.ashe.pro","1.048","NOHASH","Business"
"gepa3.com","1.586","NOHASH","Business"
"geperforeerd.com","1.111","HASH+NOHASH","NoCategory"
"geracaobooks.com.br","2.760","HASH+NOHASH","Shopping"
"gerardmarcel.com","95.145","HASH+NOHASH","Shopping"
"gerryspencersellshomes.com","1.010","HASH+NOHASH","Business"
"gesaerking.com","3.083","HASH","NoCategory"
"geschockte-patienten.org","17.591","HASH+NOHASH","Medicine"
"gesundehunde.com","18.270","HASH","Boards"
"getactiveindia.com","17.740","HASH+NOHASH","Business"
"getschwifty.party","8.140","HASH+NOHASH","NoCategory"
"getstage.com","7.460","HASH+NOHASH","Entertainment"
"gevic.org","16.866","HASH","Media"
"geyseco.es","5.287","HASH+NOHASH","Medicine"
"gg-flower.com","2.570","NOHASH","Shopping"
"gg99.co.kr","6.302","HASH+NOHASH","NoCategory"
"ggabuy.com","8.281","HASH+NOHASH","IT"
"ggate.hu","1.076","HASH+NOHASH","NoCategory"
"ghanaplaylist.com","17.934","HASH+NOHASH","Entertainment"
"ghraet.raisoni.net","1.639","HASH+NOHASH","Education"
"gibc.co.kr","10.536","HASH+NOHASH","Media"
"gidisw.ing.unlpam.edu.ar","1.430","HASH+NOHASH","Education"
"gidro-shop.ru","28.716","HASH+NOHASH","Business"
"giff.mx","1.637","HASH+NOHASH","Entertainment"
"giffcupen.se","1.709","NOHASH","Business"
"gifted.gnue.ac.kr","1.350","HASH+NOHASH","Education"
"giftlit.com","6.473","NOHASH","Shopping"
"gigaparts.nl","36.376","HASH+NOHASH","Shopping"
"gigglepedia.com","1.168","NOHASH","Entertainment"
"gigi.smyart.com","3.479","NOHASH","Arts"
"gileya.org","3.226","NOHASH","Meaningless Content"
"gimedlab.com","1.451","HASH","Business"
"ginlovers.pt","4.586","HASH","Business"
"giovie.it","4.198","NOHASH","Business"
"gipa-bng.org","2.035","HASH","Education"
"gipfeltreffen.at","59.791","HASH","Sports"
"girikpassion.in","2.177","HASH+NOHASH","NoCategory"
"girlsworker.jp","4.962","NOHASH","Adult"
"gisiframe.todayir.com.tw","4.153","HASH","Meaningless Content"
"giviolen.com","1.003","NOHASH","Shopping"
"giyimilan.com","11.004","NOHASH","Shopping"
"gjdream.com","3.067","HASH","Social"
"gkist.su","7.112","HASH","Business"
"gkstychy.info","1.749","HASH","Sports"
"gl3a.com","466.158","HASH+NOHASH","IT"
"gladiator.go2.jp","6.254","NOHASH","IT"
"gladiatorhits.com","8.900","NOHASH","Games"
"glamore.co.kr","2.552","HASH+NOHASH","Malicious Websites"
"glamore.co.kr","2.685","HASH+NOHASH","Malicious Websites"
"glamourbeauty.eu","6.004","HASH+NOHASH","Business"
"glamourscat.com","65.225","HASH+NOHASH","Adult"
"glasgowkyhomes.com","18.822","NOHASH","Real Estate"
"glencarinngolfsociety.com","1.602","NOHASH","Sports"
"glidingsport.ru","40.141","HASH","Sports"
"global-flat.com","31.768","HASH+NOHASH","Boards"
"global-lotto.at","12.095","NOHASH","Gambling"
"global-tec.de","1.675","HASH","Illegal or Unethical"
"global.sibenzyme.com","2.621","HASH+NOHASH","Education"
"globalpvcpanel.com","5.534","HASH","Business"
"globalstudyportals.com","8.774","HASH","Education"
"globportal.com","22.773","HASH+NOHASH","Business"
"globus-wapienica.de","3.401","HASH+NOHASH","Business"
"glocsft.com","1.426","HASH","Business"
"glynnthomas.com","4.773","HASH+NOHASH","Business"
"gmd-automobiles.com","8.633","HASH+NOHASH","Auto"
"gmipagaralam.or.id","7.624","NOHASH","NoCategory"
"gmme.com.tw","3.959","HASH+NOHASH","Business"
"gmusic.ru","18.140","HASH","Shopping"
"gnce.creacite.org","1.130","HASH+NOHASH","Business"
"gnggolf.kr","1.083","HASH+NOHASH","Shopping"
"gnojnica-wola.pl","10.386","HASH+NOHASH","IT"
"gntc.net","9.579","HASH+NOHASH","Religion"
"go-parts.com","180.417","HASH+NOHASH","Business"
"go2usa.com.hk","12.958","HASH","Travel"
"go4mumbai.com","20.138","HASH+NOHASH","Travel"
"goaliestore.com","27.513","HASH","Boards"
"goalmat.com","1.617","NOHASH","Sports"
"goat2goats.com","1.418","HASH+NOHASH","Business"
"gobelinek.pl","4.961","HASH+NOHASH","Shopping"
"gobiz25.com","28.742","HASH+NOHASH","Business"
"gochonggo.com","100.513","HASH+NOHASH","Shopping"
"goget.co.za","6.146","HASH+NOHASH","IT"
"gogohawaiitour.com","4.770","HASH+NOHASH","Shopping"
"gogrumogru.in","1.418","NOHASH","Entertainment"
"gohappy700.com","14.978","HASH+NOHASH","Travel"
"goholidaytour.co","6.309","NOHASH","Business"
"gojariah.org","1.520","HASH+NOHASH","NoCategory"
"goldanddiamondexchange.com","2.412","HASH+NOHASH","Business"
"goldencareer.co.in","4.259","HASH+NOHASH","Education"
"goldfm.com.fj","15.743","NOHASH","Entertainment"
"goldhowto.com","1.682","HASH","IT"
"goldsilveralert.com","10.273","NOHASH","Business"
"golf.e-rockford.com","31.780","HASH","Media"
"golffun.co.kr","43.424","HASH+NOHASH].txt (Web Hosting"
"golfinspain.com","2.303","HASH+NOHASH","Sports"
"golfpuertorico.com","7.998","NOHASH","Advertising"
"golfsimulatorforum.com","7.116","HASH","Boards"
"golperjhuri.com","1.689","HASH+NOHASH","Shopping"
"gomel.belarusgo.com","61.279","HASH+NOHASH","Adult"
"goochat.net","2.704","NOHASH","Adult"
"goodcorner.in","1.508","HASH+NOHASH","Auto"
"gooddetect.com","880","NOHASH","Business"
"goodee.cn","18.649","HASH","Search Engines and Portals"
"goodestock.com","1.112","NOHASH","Shopping"
"goodforfans.com","16.961","HASH+NOHASH","NoCategory"
"goodword.market","8.131","HASH+NOHASH","NoCategory"
"gopherforum.com","47.418","HASH","Games"
"gory-online.pl","29.778","HASH","Travel"
"gospodarstwo.pl","105.125","HASH+NOHASH","Advertising"
"gounface.co.kr","25.674","HASH","Shopping"
"gourmeteverydaydelivery.com","4.096","NOHASH","Restaurant"
"governancenow.com","2.299","HASH+NOHASH","Media"
"gpk.de","1.176","HASH+NOHASH","Medicine"
"gpl4you.com","74.759","NOHASH","Job Search"
"gponline.com.tw","1.663","NOHASH","IT"
"gps.lokalizace.eu","11.787","HASH","Shopping"
"gracedr.com","1.118","HASH+NOHASH","Business"
"graceteahouse.com","1.433","HASH+NOHASH","Restaurant"
"graceteahouse.se","1.430","HASH","IT"
"grad-nekretnine.rs","4.015","HASH","Business"
"gradall.com","16.824","HASH+NOHASH","Business"
"grandcrufrance.com","1.583","HASH+NOHASH","Business"
"grandezzamaster.com","72.634","HASH+NOHASH","Real Estate"
"grandic.cz","15.681","HASH+NOHASH","Shopping"
"grandprixadventures.com","2.028","HASH","Sports"
"grandtours.hu","34.260","NOHASH","Travel"
"grants.indonesia-info.org","8.048","NOHASH","Adult"
"gravsportsice.com","2.199","HASH","IT"
"grbasketball.com","12.637","HASH+NOHASH","IT"
"greatbritain.green","8.063","HASH+NOHASH","NoCategory"
"greateducators.com","4.082","HASH","Education"
"greatwall888.com","2.511","NOHASH","Business"
"greatwallforum.com","1.374","HASH","Boards"
"green.cgx.kr","20.144","NOHASH","Shopping"
"greenbusinesscentre.com","22.421","NOHASH","Business"
"greenmindbook.com","81.575","HASH+NOHASH","Shopping"
"greennae.kr","1.470","HASH","Shopping"
"greenwoodschomesforsale.com","7.487","NOHASH","Real Estate"
"gribic.ru","1.857","HASH+NOHASH","Restaurant"
"gridironstrategies.com","1.900","HASH","Sports"
"grkorea.kr","3.563","NOHASH","Medicine"
"gromet.net.pl","9.862","HASH+NOHASH","Web Hosting"
"groovemusic.ch","2.959","NOHASH","Entertainment"
"grosnor.com","1.882","NOHASH","Shopping"
"grossiste-informatique.com","19.829","HASH+NOHASH","Business"
"group7realty.com","19.538","NOHASH","Real Estate"
"groupeguillin.fr","3.138","HASH","Business"
"groupeshiseido-recrutement.com","43.580","HASH+NOHASH","Business"
"grproperties.com.hk","4.138","HASH","Business"
"grsra.com","111.730","HASH+NOHASH","Business"
"grupolaguia.com","1.035","NOHASH","Reference"
"grupolaticelt.com","1.194","HASH","Business"
"grupoprepara.com.br","209.943","HASH+NOHASH","Business"
"gruppoaqr.it","1.151","HASH+NOHASH","Business"
"gta4.tv","52.873","HASH+NOHASH","Games"
"gtf.edu.pt","1.183","HASH","Education"
"gto-stargate.gtx.fr","1.899","HASH+NOHASH","Web Hosting"
"gtturborhone-alpes.fr","1.260","HASH","Boards"
"guadeloupe.partissimmo.com","2.040","NOHASH","Real Estate"
"gucho.net","1.785","HASH","Entertainment"
"guestzone.nl","58.377","HASH","Entertainment"
"guiabemaqui.com","1.116","HASH+NOHASH","NoCategory"
"guide-festivals.eu","1.419","HASH+NOHASH","Entertainment"
"guide-hebergeur.fr","1.357","NOHASH","Web Hosting"
"guide34.com","4.068","HASH+NOHASH","Reference"
"guidedogs.ie","7.865","HASH+NOHASH","Social"
"guitarsuperhero.net","13.569","NOHASH","Entertainment"
"gulfassignments.com","2.183","HASH+NOHASH","Job Search"
"gulfphotoplus.com","12.988","HASH","Business"
"gulside.com","3.208","NOHASH","Business"
"gulweb.dk","2.962","NOHASH","Auto"
"gumiflower.kr","45.205","NOHASH","Shopping"
"gumotest.pl","2.008","HASH+NOHASH","Business"
"gunmabunkazigyodan.or.jp","4.885","NOHASH","Arts"
"gunnar-optiks.eu","1.016","HASH+NOHASH","Medicine"
"gunpo.or.kr","1.193","HASH","Shopping"
"gursewa.org","2.675","HASH+NOHASH","Religion"
"guru.muslimthaipost.com","5.245","NOHASH","Religion"
"gustobike.com","1.660","NOHASH","Shopping"
"gute-reisen-online.com","1.332","NOHASH","Travel"
"gval.ru","13.777","HASH","Job Search"
"gwanhsian.com.tw","9.456","NOHASH","Web-based Email"
"gymnastik.tjoerringif.dk","34.033","HASH+NOHASH","Organizations&Government"
"gynecole.com","9.326","NOHASH","Medicine"
"gyogyfu.hu","2.702","HASH+NOHASH","Business"
"gyomoon.com","2.987","NOHASH","Education"
"gype1.com","108.070","NOHASH","Business"
"gzbio.org","2.417","HASH+NOHASH","Medicine"
"gzvastec.com","17.034","HASH+NOHASH","Business"
"gzvastec.com","2.520","HASH+NOHASH","Business"
"gzxwtpw.com","30.448","HASH","Arts"
"h-retro.net","2.693","NOHASH","Adult"
"h-thomas-0-z5-2010-ta-s8.metalik.info","4.854","HASH+NOHASH","Adult"
"h-towndrivetime.com","1.498","HASH","Business"
"h-tuning.de","1.334","HASH+NOHASH","Business"
"h2o-diving.se","1.059","HASH+NOHASH","Sports"
"h2oradio.fr","8.316","HASH+NOHASH","Business"
"habjobs.com","23.548","NOHASH","Job Search"
"hackazon.samsclass.info","3.955","HASH","Education"
"hair-clinic.eu","1.852","HASH+NOHASH","Business"
"hair2000job.co.kr","5.265","HASH+NOHASH","Job Search"
"hairlossexperiences.com","4.086","HASH+NOHASH","Medicine"
"hairmake-aki.net","1.083","HASH+NOHASH","Social"
"hairsearch.eu","11.986","NOHASH","Business"
"hairsenseinc.com","1.010","NOHASH","Business"
"haja.us","11.484","HASH","IT"
"hajny.fineartworld.com","1.578","HASH+NOHASH","Arts"
"hakidd.com","3.934","NOHASH","Business"
"hakwonmore.com","3.994","HASH+NOHASH","Education"
"halaal.recipes","2.749","HASH+NOHASH","Business"
"halalbox.in","11.204","HASH+NOHASH","Business"
"halla-c.ac.kr","1.094","HASH+NOHASH","Education"
"haller-beratung.at","8.379","HASH","Finance"
"hallertauerhopfen.de","1.833","HASH+NOHASH","Business"
"hamiltonbridal.com","1.052","NOHASH","NoCategory"
"hammerkauf.it","9.963","HASH+NOHASH","IT"
"hamyaryiran.ir","17.091","HASH","Boards"
"hanabella.com.my","7.873","HASH+NOHASH","Search Engines and Portals"
"hanauer-parkhaus.de","9.865","HASH+NOHASH","Business"
"handicapinfos.info","9.190","HASH+NOHASH","Business"
"handmadeartists.com","25.288","HASH+NOHASH","Shopping"
"handschuh-dach.de","1.074","HASH","Shopping"
"handsofindia.org","2.152","HASH+NOHASH","Shopping"
"handwerkerportal.de","2.918","HASH+NOHASH","Business"
"handwerkerverbund-deutschland.de","1.941","NOHASH","NoCategory"
"hanfordvethospital.com","13.173","NOHASH","NoCategory"
"hangsign.net","2.042","NOHASH","Religion"
"hanmaum3300.com","1.894","HASH+NOHASH","NoCategory"
"hansa-auktion.de","1.831","HASH+NOHASH","Auction"
"hansarangmed.com","4.001","NOHASH","Shopping"
"hansen023.dk","4.857","HASH+NOHASH","Social"
"hapimag-ferienclub.net","4.530","HASH+NOHASH","NoCategory"
"hapinemu.net","5.881","NOHASH","Reference"
"happy.carpenters.cifraseletras.mus.br","46.892","NOHASH","Entertainment"
"happydestino.advertroindia.co.in","2.073","HASH+NOHASH","Malicious Websites"
"happyfruit.co.kr","1.455","NOHASH","Shopping"
"happyhomefurnishers.co.uk","3.290","NOHASH","Business"
"happynamu.co.kr","9.886","NOHASH","Shopping"
"happytokorea.com","108.251","HASH","Travel"
"happywear.ru","54.917","HASH+NOHASH","Shopping"
"harbingerfitnessindia.com","1.667","HASH+NOHASH","Shopping"
"hari-libur.com","2.563","HASH+NOHASH","Reference"
"harmattantv.com","101.976","HASH+NOHASH","Entertainment"
"harmony-dml.com","3.200","HASH+NOHASH","Business"
"harrywelbycooke.actioncoach.com","3.679","HASH+NOHASH","Business"
"hartleywintney.members-section.co.uk","1.742","HASH+NOHASH","Sports"
"hastingsmotorcare.co.uk","50.978","NOHASH","Business"
"hasznaltautopecs.com","26.604","HASH+NOHASH","Business"
"hauntedillinois.com","3.423","HASH+NOHASH","Entertainment"
"hawkerbd.com","1.780","HASH+NOHASH","Media"
"haxballargentina.com.ar","9.254","HASH","Sports"
"hazarot.co.il","1.248","NOHASH","Entertainment"
"hbbdf.cn","2.230","HASH","Medicine"
"hbcuconnect.com","4.212","NOHASH","Education"
"hci.org.br","1.146","HASH+NOHASH","Malicious Websites"
"hcmcexpo.com.vn","1.412","HASH","Business"
"hcr-germany.eu","9.161","HASH+NOHASH","Business"
"hdsc.co.kr","3.678","NOHASH","Education"
"headtilt.com","1.842","HASH","Web Hosting"
"healthlink.hk","2.027","HASH+NOHASH","Medicine"
"healthybreakfast-survey.com","4.065","HASH+NOHASH","NoCategory"
"healthylivingcalendars.com","70.117","NOHASH","NoCategory"
"heartofasiaonline.com","35.589","NOHASH","Social"
"hebmesz.hu","1.043","HASH+NOHASH","Sports"
"heidi-steinhaus.de","4.280","HASH","Entertainment"
"heilei.com","5.587","HASH","IT"
"helganzrealestate.com","7.465","NOHASH","Real Estate"
"helgdagar.com","2.563","HASH+NOHASH","Reference"
"heliactivo.com","1.207","HASH+NOHASH","Business"
"hellaswood.gr","3.959","HASH","Business"
"hello-k.com","1.100","HASH+NOHASH","Shopping"
"hellomodel.com","4.210","HASH+NOHASH","Entertainment"
"hellotalk.com","4.079","HASH","Education"
"help.nevosoft.com","827.609","HASH+NOHASH","Entertainment"
"helpdesk.sctech.edu","1.167","HASH+NOHASH","Education"
"helplink.net","1.303","HASH+NOHASH","NoCategory"
"hempelt-modellbahn.de","2.125","NOHASH","Shopping"
"hendayebasket.com","2.536","NOHASH","Sports"
"henhoketban.vn","7.191","NOHASH","Dating"
"henlin.com.tw","22.982","HASH+NOHASH","Business"
"hennatattoo.com.br","1.481","NOHASH","Dating"
"henych666.cz","1.056","HASH+NOHASH","Entertainment"
"heraldicahispana.info","72.674","HASH","Business"
"heraonline.com.br","9.689","NOHASH","Medicine"
"herbamin.se","4.995","HASH+NOHASH","Business"
"herculesworkshop.com","17.285","NOHASH","IT"
"herikutu.com","1.689","HASH+NOHASH","Sports"
"herkules-motor.de","5.689","HASH+NOHASH","Business"
"hermannhuppen.com","7.657","HASH+NOHASH","Entertainment"
"herniatalk.com","1.142","HASH","Boards"
"herodote.net","15.021","NOHASH","Education"
"hersheyrealtynj.com","18.454","NOHASH","Real Estate"
"hestuganda.com","1.353","NOHASH","Business"
"hetpakhuisermelo.nl","22.440","HASH","Business"
"heumannzweirad.de","1.900","HASH+NOHASH","Business"
"hewhew.com","1.649","NOHASH","Social"
"hfc.century21-hk.com","840","NOHASH","Business"
"hfljn.com","193.643","HASH","Business"
"hh-cologne.de","22.624","HASH+NOHASH","Business"
"hh16.hu","830","NOHASH","Business"
"hi-life23.com","177.133","HASH+NOHASH","Business"
"hi-na.com","3.421","NOHASH","Adult"
"hi-techtennis.com","2.088","NOHASH","Sports"
"hicare.hk","10.538","HASH","Medicine"
"hidehouse.com","30.533","HASH","Shopping"
"hifivision.net","49.360","HASH+NOHASH","IT"
"highcountry4wheelers.com","45.925","HASH","IT"
"higher.co.th","1.758","NOHASH","Business"
"higherpraisetube.com","7.799","HASH+NOHASH","Media"
"highlandhost.net","53.093","HASH+NOHASH","Business"
"highlife.dushi.ca","2.005","HASH","Media"
"highvision.in","1.682","HASH","Education"
"hiking.sk","44.226","HASH","Sports"
"hilimboho-desa-kelurahan.koleksi.info","11.873","NOHASH","Adult"
"hill-bagging.co.uk","4.552","NOHASH","Reference"
"himvita.biz","3.234","HASH+NOHASH","NoCategory"
"hinasroom.com","26.794","HASH+NOHASH","IT"
"hinohatsu.jp","1.778","HASH+NOHASH","Games"
"hiras.com","2.603","HASH","Shopping"
"hire4hotels.com","6.165","NOHASH","Business"
"hirerightstaff.com","1.727","HASH+NOHASH","Business"
"hiripau-village.pts-ptn.net","4.953","NOHASH","Adult"
"hirschen-langnau.ch","2.159","HASH","Travel"
"hiserver.co.kr","4.211","HASH+NOHASH","Business"
"hisseanaliz.net","47.229","HASH","Boards"
"hitcounter.ru","51.078","HASH+NOHASH","Business"
"hittraining.justapply.co.uk","34.289","HASH+NOHASH","Business"
"hjcherry.com","10.819","NOHASH","Shopping"
"hjtour.kr","16.629","HASH+NOHASH","Travel"
"hkcba.org","1.775","HASH","Organizations&Government"
"hki.co.kr","4.195","HASH+NOHASH","Media"
"hkjia.cn","14.579","HASH","Media"
"hkski.com","56.225","HASH","Sports"
"hkwingtung.com","22.480","HASH+NOHASH","Business"
"hlbews.com","22.784","HASH","Business"
"hlgsec.klsetracker.com.my","5.850","HASH+NOHASH","Finance"
"hljccjc.com","23.955","HASH","NoCategory"
"hljhz.cc","28.316","HASH","NoCategory"
"hlsutharassociates.com","172.764","HASH+NOHASH","NoCategory"
"hnssxy.com","1.070","HASH+NOHASH","Business"
"hntxo3.com","1.519","HASH","Business"
"hobbyhen.com","2.493","HASH+NOHASH","Shopping"
"hobbylink.com.br","1.600","NOHASH","Sports"
"hobbysquawk.com","9.451","HASH","Business"
"hockeybarn.com","3.865","NOHASH","Sports"
"hoffmancaliforniafabrics.net","2.327","HASH","Business"
"holidayhomeindia.com","19.128","HASH","Travel"
"holidayswithbaby.co.uk","3.101","HASH+NOHASH","Business"
"holidaysystem.it","2.155","HASH+NOHASH","Travel"
"holidayszanzibar.com","2.979","NOHASH","Travel"
"hollandseslijpservice.nl","1.950","HASH+NOHASH","Media"
"hollywoodhousingauthority.com","1.696","NOHASH","Organizations&Government"
"home-hk.com","2.317","NOHASH","Real Estate"
"home.peo.nu","1.388","HASH+NOHASH","Business"
"home5.pfamily.com.tw","7.510","NOHASH","Games"
"homecraftersinc.com","5.772","NOHASH","Real Estate"
"homehastings.com","3.050","HASH+NOHASH","Real Estate"
"homeopathyandmore.com","36.874","HASH+NOHASH","Medicine"
"homeopathyhome.com","14.986","HASH","Medicine"
"homesearchplace.com","1.022","NOHASH","Real Estate"
"homesellbuy.homeeasybuy.com","5.923","HASH+NOHASH","Real Estate"
"homesitting-homesitter.com","3.833","HASH+NOHASH","Business"
"homesupermarket-b2b.gr","4.253","NOHASH","Business"
"hometuitionindelhincr.com","4.534","HASH+NOHASH","Education"
"hometutorindelhi.co.in","1.093","HASH","NoCategory"
"homeware.be","10.125","NOHASH","Sports"
"homeware.be","11.443","HASH","Sports"
"honest.lease","7.833","HASH+NOHASH","NoCategory"
"hongpakkroo.com","1.198","NOHASH","IT"
"hookers.nl","287.560","HASH+NOHASH","Adult"
"hookuptalk.com","9.165","HASH","Adult"
"hoolin.com.tw","7.661","HASH","IT"
"hopeautismroars.org","3.331","HASH","Business"
"horrorworld.ru","2.048","HASH+NOHASH","Business"
"horse-realty.com","2.213","NOHASH","Real Estate"
"horseline.ru","805","HASH+NOHASH","Business"
"hoshyar4.com","1.575","HASH+NOHASH","Medicine"
"hosteleria.elcomercio.es","83.351","HASH","Media"
"hot-lyts.com","2.764","HASH","Freeware and Software Downloads"
"hotel-laciotat.com","1.379","NOHASH","NoCategory"
"hotel-marseille.com","645","NOHASH","Travel"
"hotel-rita.com","3.460","HASH","Travel"
"hotel-wiese.at","1.483","NOHASH","Travel"
"hotel.ru","1.515","NOHASH","Travel"
"hotelierjobz.com","11.116","HASH","Business"
"hotelindelhi.in","2.904","HASH+NOHASH","Business"
"hotellerie-jobs.com","10.108","HASH+NOHASH","Job Search"
"hotelplazaamerica.iberiahotel.com","23.509","HASH","Travel"
"hotelsamiraclub.com","5.546","HASH+NOHASH","Travel"
"hotelsdusenegal.com","2.240","HASH+NOHASH","Business"
"hotelsealion.com","1.141","HASH","Business"
"hotelstop.ru","2.301","NOHASH","Travel"
"hoteluradnice.mmit.cz","7.629","HASH","NoCategory"
"hotelyugantar.com","1.453","HASH+NOHASH","Business"
"hothandbag2019.cn","5.335","HASH+NOHASH","Business"
"hotjobs2u.com","3.097","NOHASH","Job Search"
"hottutor.com.hk","23.383","NOHASH","Education"
"houdard.fr","3.019","NOHASH","Business"
"housekeeper.newjerseynanny.com","3.314","NOHASH","Job Search"
"howardcounty.com","17.620","HASH+NOHASH","Reference"
"howli.gov.tw","2.875","HASH+NOHASH","Organizations&Government"
"hoyer-aus32blue.de","1.030","HASH+NOHASH","Business"
"hra.csmweb.net","19.014","HASH","Games"
"hram53.ru","1.642","HASH+NOHASH","Business"
"hrspot.co.in","1.122","NOHASH","Business"
"hrtrendz.com","1.101","HASH+NOHASH","IT"
"hs-owl.de","3.392","HASH+NOHASH","Education"
"hscrecreation.com","1.301","NOHASH","Sports"
"hsfi.co.kr","1.357","HASH+NOHASH","Shopping"
"hsfi.kr","1.927","HASH+NOHASH","NoCategory"
"hsw.elblag.pl","2.062","HASH+NOHASH","Search Engines and Portals"
"hua.ophen.org","1.079","HASH","IT"
"hualian.co.th","1.753","HASH+NOHASH","IT"
"huaruiknitting.com","2.544","HASH","Business"
"hub.ielts.express","4.249","HASH+NOHASH","IT"
"hudcertification.com","1.683","HASH","Business"
"hudebnirpozhledy.scena.cz","1.300","NOHASH","Entertainment"
"huion.com","9.179","HASH","Business"
"hullcityindependent.net","2.019","NOHASH","Sports"
"huluboshi.com","1.255","HASH+NOHASH","Business"
"humanforcemanagement.com","2.238","NOHASH","Job Search"
"humorki.com","2.402","HASH+NOHASH","Entertainment"
"huntinglebanese.com","50.264","HASH+NOHASH","Job Search"
"huntinglebanese.com","69.023","HASH+NOHASH","Job Search"
"huntint.com","1.299","HASH","NoCategory"
"huntonly.com","6.452","HASH","Sports"
"hustle.ru","18.580","HASH+NOHASH","Entertainment"
"hvaa.hk","1.517","HASH+NOHASH","Sports"
"hvmusic.com","6.132","NOHASH","Entertainment"
"hwarang.org","5.200","HASH+NOHASH","Sports"
"hwille.com","26.854","HASH+NOHASH","IT"
"hwm.i-virgo.com","57.037","HASH","IT"
"hyderabadcityrentals.com","1.864","NOHASH","Real Estate"
"hyderabadtutions.com","1.214","NOHASH","Education"
"hyderabadtutions.com","1.745","NOHASH","Education"
"hydroracer.net","7.713","HASH","Sports"
"hyena-mx.com","2.334","NOHASH","Business"
"hyeng.co.kr","3.194","NOHASH","Web Hosting"
"hyiphunter.biz","24.838","HASH","Finance"
"hykino.triangle-design.com","1.616","HASH+NOHASH","Business"
"hyloem.compress.to","2.366","NOHASH","NoCategory"
"hype1.com","151.809","HASH+NOHASH","Business"
"hypehunter.pl","9.697","HASH","Business"
"hyraw.com","1.419","HASH+NOHASH","Shopping"
"hytexts.com","1.226","HASH+NOHASH","Shopping"
"hyundai-electronics.ro","36.212","HASH+NOHASH","Business"
"hz.srx123.com","2.548","HASH","Education"
"hzdyu.mo.cn","4.007","HASH+NOHASH","NoCategory"
"hzwf.com","4.083","HASH","Business"
"i-auction.net","58.422","HASH+NOHASH","Search Engines and Portals"
"i-psychologia.sk","10.686","HASH+NOHASH","Media"
"i-winix.co.kr","1.179","HASH+NOHASH","Web Hosting"
"i-winix.com","1.179","HASH+NOHASH","Business"
"i3dthemes.com","26.633","NOHASH","IT"
"i4c4u.com","842","NOHASH","Shopping"
"iacphils.com","1.429","HASH+NOHASH","Business"
"iautocars.com","1.378","NOHASH","Auto"
"ibanklive.com","33.535","NOHASH","Media"
"ibdl.net","2.014","HASH+NOHASH","Education"
"ibhwk.com","2.121","HASH","NoCategory"
"ibohonara.com","19.661","HASH","Finance"
"ibuy.wnt.bz","10.134","HASH+NOHASH","IT"
"ic-giyim.tekstilsanayi.com","1.397","NOHASH","Business"
"icbaibai.com","5.836","NOHASH","Business"
"icoda.co.kr","427.728","HASH+NOHASH","IT"
"icolumbo.de","4.580","HASH+NOHASH","Entertainment"
