Entries,Database,Detected Hashing Algorithms,Category,Dump Date,Acknowledged?
41581,CSArenaX.ro,IPB & MD5(phpBB3),Gaming,2016-04,
41569,Hoatown.com,plaintext,,2017-11,
41564,BeautyFashionShop.de,MD5(salt),Shopping,2018-10,
41540,GetCron.com,MD5,Software,,
41408,Hip-Hop.pl,no passwords & plaintext,Music,2010,
41401,BobMunsa.co.kr,MySQL,Shopping,,
41387,PlanetGarth.com,MD5,Music - Official Site,,
41347,BitsHacking.com,vB,Hacking,2014-03,
41314,SiemensFan.info,MD5,Technology - Phones,2012,
41275,BuzzMachines.com,SHA-1,News & Technology,2016-03,
41123,CS-Kings.biz,vB,Streaming,2016-07,
41090,EMCP.com,plaintext,Education,2018-06,
41047,PocketCents.com,MD5,Advertising,2012,
41036,Antichat.ru,vB,Hacking,2011-06,
40975,Wowza.com Email Addresses,no passwords,Streaming,,
40852,Pashnit.com,vB,Vehicles,2016-10,
40575,GamersNet.nl,plaintext,Gaming,,
40561,Quadtreros.net,VB & bcrypt,,,
40557,RegencyMovies.com,md5crypt,Movies,,
40473,EpicBot.com,vB,Gaming - RuneScape,2016-02,
40444,EazySubs.com,vB,Social Media Promotion,2011-10,
40350,AMZReviewTrader.com,plaintext,Trading,2015-08,https://web.archive.org/web/20151008215513/http://community.amztracker.com/discussion/676/email-addresses-from-our-review-club-leaked
40349,SupremeSkillers.com,no passwords,Gaming - RuneScape,,
40205,RallySportDirect.com,bcrypt,Shopping - Vehicle Parts,2015-07,
40008,PooyingNaka.com,MD5,Shopping,2017,
39979,Choco.Educarriere.ci,plaintext,News,2017-11,
39972,Gogru.in,plaintext,Portal,2017-11,
39755,ChemoLink.com,MD5,Chemistry,2018-09,
39738,PasswordsCity.com,vB,Hacking & Porn,2016-09,
39674,IoW-RSOC.co.uk,MD5,Vehicles - Cars,,
39481,eGamingSupply.com,vB,Gaming,2016-10,
39432,Developers-Heaven.net,SMF,Software,2019-09,
39421,OneLastBreathCifra.Creed.CifraSeletras.mus.br,plaintext,Music,,
39417,Paron.gr Email Addresses,no passwords,Newspaper,2015-11,
39395,Diabetenet.Com.Br,plaintext,,2017-11,
39388,Ravnovesie.com,MD5 & plaintext,Technology,,
39305,ViperMC.net Logs,no passwords,Gaming - Minecraft,2018-11,
39276,EpilepsyMichigan.org,no passwords,Health,2011-07,
39007,Bo.Cems.Org,plaintext,,2017-11,
38968,Foroaps.org,plaintext,Education,2017-11,
38919,Foodgraph.Appstor.io,no passwords,Food & Drink,2016-07,
38759,FrozenCraft.ru,MD5,Gaming - Minecraft,2015-02,
38758,YamahaOutboardParts.com,VB & bcrypt,,,
38391,Mobilez.pl,IPB,Uncategorized,2010-01,
38379,FreeHack.com,MD5,Hacking,2010-12,
38291,Actualites-News-Environnement.com,plaintext,,2017-11,
38252,Eventosrh.com.br,plaintext,Employment,2017-11,
38084,Triple-MGames.com,IPB,Gaming,,
37947,Quil-fait-bon.com,plaintext & unknown hashing algorithm,,,
37892,RentRochester.com,MD5,Real Estate,,
37756,CarlsonRezidor.com,SHA-256,Hotels,2014-06,
37578,MKTBA.org Email Addresses,no passwords,Software,,
37576,Hometuitioncare.com,plaintext,Employment,2017-11,
37573,DoNews.com,MD5 & no passwords,News,2010-06,
37568,INAS.it,plaintext,Employment,2018-09,
37433,FapJizz.com,plaintext,Porn,2015-08,
37409,Winout.net,MD5(phpBB3),Gaming,2016-06,
37190,YourPartTime.com,plaintext,Employment,2017-12,
36937,Dreamfilm.se,MD5,Movies,,
36905,GFLClan.com,IPB,Gaming,2016-05,https://gflclan.com/forums/topic/27-the-future-of-gfl/
36868,OshKosh.com.au,no passwords,Shopping - Clothes,,
36818,BigMoneyJobs.com,plaintext,Employment,2014-04,
36788,Turk-Internet.com,MD5,News,,
36784,HackGive.me,plaintext,Hacked Account Reseller,,
36568,Mfsalud.Com.Ar,plaintext,,2017-11,
36507,SymbianGames.pl,MD5,Gaming,2012,
36425,HeraldicaHispana.org,md5crypt & descrypt,,,
36379,TheGroveLA.com,no passwords,Entertainment,2016-10,
36357,Malayalamsongslyrics.com,plaintext,Music,2017-11,
36237,Obstawianie.com,MD5,Gambling - Betting,2012,
36215,LionelRacingForum.com,VB & bcrypt,Vehicles - Cars,,
36146,Club-SE.eu,MD5,Technology - Phones,2012,
36106,PKGods.com,VB,Gaming - RuneScape,2016-07,
36085,CNC.info.pl,MD5,Technology,2012,
35963,VoteSex.com.ar,vB,Porn,2012-03,
35695,"Vetion.de	",plaintext,,2017-12,
35633,LiveFTA.com Email Addresses,no passwords,Satellite,,
35484,BeatingBonuses.com,vB,Gambling,2017-01,
35440,Nightsmiles.com,plaintext,Uncategorized,2017-11,
35427,Forum.Asechka.pro,vB,Technology,2016-09,
35347,SkoolKit.co.uk,MD5 & bcrypt,Clothes,2016-06,
35316,OVFLOntario.com,plaintext,Sports - Varsity Football,,
35159,UltimaROMS.com,cracked plaintext,Gaming,2016-09,
35150,LittleBolide.com,osCommerce,Shopping,2017-03,
35102,VIPHackForums.net,MyBB,Hacking,2014-12,
35018,3322.org,plaintext,Hosting,2011,
34949,Pixelmon.fr,MD5,Gaming - Minecraft,2016-04,
34938,EverydayRecipes.ca Email Addresses,no passwords,Food & Drink,2014-12,
34887,DreamCodes.biz,MD5,,,
34856,Www11010uh.Sakura.Ne.Jp,plaintext,,2017-12,
34817,RuneCrypt.com,IPB,Gaming - RuneScape,,
34796,PCGameISO.com,vB,Gaming,2015-09,
34646,SexDating.se,plaintext,Dating,2011,
34573,RHS-European.co.uk,MD5,Shopping - Stamps,,
34513,BitsCircle.com,bcrypt,Cryptocurrency - Bitcoin,,
34446,Teeneefree.com,plaintext,,2017-12,
34437,CSE24.net,MD5,Technology,2012,
34368,000webhost.com Forum,vB,Hosting,2015-10,
34235,BitTorrent.com Forum,IPB,Torrenting,2016-01,
34193,Armorama.com,plaintext,Toys,,
34163,SGCafe.com,vB,Anime,2016-11,
34113,ZebraDem.com,vB,Streaming,2017-01,
34105,LandlordZONE.co.uk Email Addresses,no passwords,Real Estate,,
34097,Sbc-Web.co.jp,plaintext,Employment,2017-11,
34055,AsianWorld.it,MD5(salt) *MISSING SALTS*,Movies,,
33961,FreshFiction.com,MD5,Entertainment,,
33928,BelleFashions.com,plaintext,Fashion,,
33874,Potimarron.Com,plaintext,,2017-12,
33823,Stress.wtf,SHA-1 & plaintext,Booter,2018-09,
33781,Sawasdeekappom.Com,plaintext,,2017-12,
33751,ChristianFlatShare.org,MD5,Accommodation,2013,
33741,Orangetree.co.uk,plaintext,Business,2017-11,
33723,WBDG.org (The Whole Building Design Guide),SHA-512crypt,Construction,2016,
33509,Gay.pl,MD5,LGBT,2012-11,
33396,Porno-Maniac.org,vB,Porn,2016-11,
33361,SmileBit.org,MD5,File Sharing,,
33342,TransDeals.in,MD5,Shopping,2019-08,
33314,Resolving.pw,no passwords,Skype Resolver,2015-11,
33249,IngyenSzekFilmek.com,MD5 & no passwords,Porn,2019-01,
33225,VolvoForum.pl,MD5,Vehicles,2012,
33208,Eccouncil.org,no passwords,Cyber Security,2014-02,
33104,EffortlessGK.com,MD5,Education,,
33036,PCFarm.ro,MD5,Pharmaceuticals,2016-03,
32934,Le-vide-dressing.fr,plaintext,Clothes,2015-11,
32908,Toffeeweb.com,plaintext,Sports - Football,2017-12,
32817,D3Scene.com,vB,Gaming - World of Warcraft,2015-04,
32769,TOPCON.com,MD5 & no passwords,Business,2016-07,
32704,WaterTech.fr,MD5,Technology,,
32673,Lancastervetclinic.com,plaintext,Animals,2017-11,
32620,Integrame.ro,plaintext,Gaming,2019-12,
32567,ZarinKharid.com,no passwords & plaintext,Uncategorized,2015-10,
32481,Samoletov.net,MD5,Shopping,2012,
32455,YAmaFOTO.com,plaintext,Art,,
32399,CoffeeForums.com,vB,Food & Drink - Coffee,2016-11,
32376,Gamblerscorner.com,plaintext,Gambling,2017-11,
32347,Filmboden.se,plaintext,Shopping - Movies,,
32318,USA Builders Database,no passwords,Construction,,
32251,Softflexcompany.com,plaintext,,2017-12,
32177,BeigeFushi.com,MD5,Construction,2011-11,
32175,LegendDN2.net,MD5,Gaming,2016-09,
32119,SachsBikes.com.au,MD5,Vehicles,,
32118,MyLloyd.com,MD5,Shopping,2016-08,
32118,TapToEat.com,SHA-256,Food & Drink,,
32050,Forum.SEK750i.eu,MD5,Uncategorized,2012,
31979,InternationalSkeptics.com,vB,General Discussion,2016-11,
31979,Randi.org Forums,vB,Education,2016-11,
31943,Darkspot.info,vB,Carding,,
31937,Yugopolis.Pro,plaintext,,2017-11,
31888,Aiekillu.fr Forum,no passwords,Gaming,2015-08,
31868,UEFA.com,MD5,Sports - Football,2013,
31867,Forum.Xakepok.su,vB,Hacking,2011-07,
31649,Forum.T-Tapp.com,bcrypt,Health - Exercise,,
31628,PoliticalForum.com,vB,Politics,2016-11,
31603,CentrumSE.com,MD5,Technology,2012,
31601,InAttack.ru,IPB,Hacking,,
31581,EpochMod.com,IPB,Gaming - ARMA 3,2015-05,
31554,Sat-Elita.net.pl,MD5,Satellite,2012,
31533,PollGenius.com,plaintext,Polls,,
31444,Hec.gov.pk,plaintext,Government,2015-01,
31436,DiabetesOnline.com.br,plaintext,Health,,
31388,KonvictGaming.com,vB,Gaming,2016-01,
31386,Buymixtapes.com,plaintext,,2017-11,
31310,SpoilTheDead.com,vB,TV Series,2016-08,
31274,Roblox Transaction Logs [PARTIAL],plaintext,Gaming,2016-08,
31250,TheGioiDiDong.com Transaction Logs,no passwords,Shopping,2018-11,
31246,J-AX.it Forums,no passwords,Music,2015-09,
31223,Sh0ping.su,plaintext & MD5 & no passwords,Hacking,,
31147,Forum.BR.R2Games.com,MD5(Wordpress) & unknown hashing algorithm,Gaming,2017-03,
31063,CS-Ogarowo.pl,MD5,Gaming,2012,
31059,Vancouver.MrRental.com,SHA-1 & plaintext,,,
31052,VCVlissingen.nl,MD5 & no passwords,Sports - Football,2018-07,
30960,TekSyndicate.com Main,MD5,Hardware,,
30955,AltisLifeRPG.com,no passwords,Gaming,2016-08,
30843,Forum.Swiry.pl,MD5,Music,2012,
30785,Www1.Kkewash.com,MD5,Shopping,2012,
30690,StartVagina.nl,MD5,Porn,2018-07,
30678,IngyenSzexfilmek.com,MD5,Porn,2017-03,
30678,Ohio.gov,no passwords,Government,,
30675,JavaTpoint.com,plaintext,Coding,,
30597,USA Premier Investor Database,no passwords,Business,2007-09,
30548,DifferenceGames.com,plaintext,Gaming,2016-02,
30505,Mermaidcentralmedicalclinic.com.au,plaintext,Health,2017-11,
30422,GetGifGifGif.com,bcrypt,Software,,
30351,PearHotel.nl,MD5(salt),Gaming,2014-04,
30324,VolgaGirl.com,plaintext,,2017-12,
30309,Akorn.com,plaintext,Pharmaceuticals,2015-05,
30285,LegendaryHacker.com,VB,Hacking,2019-06,
30228,Enterprises.Svich.com,plaintext,,2017-11,
30084,Evsystems.co.uk,plaintext,Shopping,2017-11,
30082,DrJizz.com,plaintext,Porn,,
30032,BTCF.fi,vB,Vehicles,2016-04,
29979,LeadersInFitness.com,plaintext,Health - Fitness,2018-06,
29968,Bodybuilder.ir,vB,Bodybuilding,2016-11,
29941,KNOPPIX.net,VB,Technology,2019-06,
29901,FaithfulHCF.com (Buycraft),no passwords,Gaming - Minecraft,2017-03,
29876,Secemin.net.pl,MD5,Business,2012,
29820,Cyberdict.com,plaintext,Shopping,2017-11,
29785,Chnlanker.com,MD5,News,2013-06,
29754,WindowsDating.com,plaintext,,,
29734,Youximeng.com,MD5(salt),Gaming,2011-09,
29678,Jbct.jp,plaintext,Health,2017-11,
29641,Balletto.net,plaintext,,2017-11,
29565,DivXUp.com,vB,Movies,2017,
29535,LankaMatrimony.com,plaintext,Marriage Service,,
29394,Multimedia.De,plaintext,,2017-11,
29324,ForumNasze.pl,MD5,General Discussion,2012,
29265,GuestZone.nl,MD5(phpBB3),Music,2017-01,
29214,Ptj.lk,plaintext,,2017-11,
29210,Vads.ac.uk,MD5(Wordpress) & plaintext,Art,,
29165,MaliWeb.net,plaintext,Portal - Mali,2017,
29136,Perjuries.com,VB & bcrypt,,,
29046,Anime-Kun.net,SHA-1 & SHA-1($pass.$salt),Anime,2016-04,
29012,RockabillyDate.com,plaintext,Dating,,
29005,MM-RS.org,IPB,Gaming - RuneScape,2015-06,
28989,Playkidsgames.com,plaintext,Gaming,2017-12,
28970,Satmods.com Email Addresses,no passwords,Satellite,,
28944,Discuss.ILW.com,VB & bcrypt,Immigration,,
28774,G-Play.ru,no passwords,Gaming,,
28768,CS.PowerFM.pl,MD5,Gaming,2012,
28718,Forum.OctaviaClub.pl,MD5,Vehicles,2012,
28678,Forums.RPTools.net,MD5(phpBB3),Gaming Software,2019-08,
28675,GrajiGadaj.com,MD5,Gaming,2012,
28651,Hemmelig.com,MD5,Dating,2011-12,
28642,Gataweb.com,MD5,Animals,2016-02,
28542,GoFuckBiz.com,VB,Business,2018,
28411,RawPorn.org,vB,Porn,2016,
28385,OpenSC.ws Forum,vB,Cyber Security,2012-06,
28373,LCUCK.ac.uk,bcrypt & plaintext & no passwords,Education,,
28298,DogeWallet.com,MD5 & plaintext,Cryptocurrency,2014-01,
28269,Updato.com,MD5(Wordpress),Software - Android,2016-07,
28244,OlSkoolRodz.com,vB,Vehicles - Cars,2016-03,
28171,FilmFix.se,MD5 & plain,Movies,,
28098,RichMonkey.biz,bcrypt,Finance,2019-11,
28029,New-Tecknology.com,plaintext,Technology,2011-03,
27975,OmegaRealm.com,no passwords,Gaming - Minecraft,,
27974,ThisHabboForum.com,vB,Gaming,2014,
27946,ButterflyLabs.com,vB,Cryptocurrency,2015,
27894,Nordresine.fr Email Addresses,no passwords,Construction,2014-02,
27858,Mail.TodaysLiving.com,plaintext,Interior Design,2018-07,
27842,Ultimatesafelistexchange.com,plaintext,,2017-12,
27780,UnforgivenWoW.com,SHA-1(uppercase($username).':'.uppercase($pass)),Gaming,2010-12,
27775,Euservr.com,plaintext,Hosting,,
27753,Cabal-Online.org,MD5,Gaming,2012,
27703,TheBigLotto.com,plaintext,Gambling,2010,
27702,Reeqwest.com,plaintext,,2017-12,
27649,Plasticker.de,SHA-256,Industry,2017-10,
27606,3ForFun.com,plaintext,Entertainment,,
27525,SendSpace.com,plaintext,Hosting,2012,
27386,BusinessAcumen.biz,MD5,Business,2014-04,
27376,ShangrilaWaterpark.com Email Addresses,no passwords,Entertainment,,
27368,Eclozia.fr,plaintext,Gaming - Minecraft,2016,
27333,Freebible.org.uk,plaintext,,2017-11,
27290,Mp3gospel.org,plaintext,Music,2017-11,
27249,Forum.DragonNest.com,bcrypt,Gaming,,
27221,SvenskaMagic.com,MD5,Gaming - MTG,,
27201,TheGPGuild.com,vB,Gaming - RuneScape,,
27184,Phazebook.co.uk,MD5,Shopping - Clothes,,
27095,CodeMasters.com,no passwords,Coding,2011-05,
27071,WebPagetest.org,MyBB,Website Performance Test,2012-03,
27018,Mavic-MP3.com,MD5($salt.$pass),Music,2016-02,
27014,Mavic.fr,MD5(salt),Sports - Cycling,,
26992,SocialEngineForum.com,IPB,Software,2012-04,
26978,HockeyStreams.com,MD5,Streaming,2014-01,
26900,OffensiveCommunity.net,MyBB & vB,Hacking,2016-10,
26855,RapDuma.pl,MD5,Music,2012,
26849,InterBet.co.za,no passwords,Gambling - Betting,2016-04,
26823,BandaNaimcoGames.com,vB,Gaming,2016-07,
26823,T.Mobi189.com,MD5,Shopping,,
26725,TheoMedia.fr Email Addresses,no passwords,Entertainment,2015-11,
26710,Paladium-PvP.fr,bcrypt,Gaming - Minecraft,2019-01,
26616,Auction-Warehouse.com,plaintext,Auctions,2017-03,
26480,Forum.Zwaja.org,MD5,Uncategorized,2012,
26375,StarBlast.fr,MD5 & plaintext,Gaming - Minecraft,2015-09,
26343,MSDPerformance.com,vB,Vehicles,2016-11,
26296,Tip.it,MD5,Gaming - RuneScape,2007,
26295,PokerItalia24.it,MD5 & plaintext,Gambling,2016-06,
26287,DaewooForum.pl,MD5,Business,2012,
26234,VapersForum.com,vB,Lifestyle,2017,
26194,MobilFilm.net,plaintext,Movies,2014-08,
26187,SpursTalk.com,vB,Sports - Football,2017,
26182,GameKeys.biz Forum,vB,Gaming,2015-09,
26063,Estee.com,unknown hashing algorithm,Fashion,,
26063,Myelx.com,unknown hashing algorithm,Fashion,2015,
26030,Emperatur.org,no passwords,Uncategorized,2015-10,
25990,ChelseaFCForums.com,phpBB,Sports - Football,2015,
25988,BisectHosting.com,md5crypt,Gaming - Minecraft,2015-11,
25969,GolfersCard.ae,plaintext,Sports - Golf,2016-06,
25936,CNCDen.com,vB,Gaming,2012-02,
25896,LA2.Forum.Raid.ru,IPB,Gaming,2008-04,
25840,GamersHQItalia.it,MD5,Gaming,,
25820,JAV007.com,MD5,Porn,,
25779,Bdjobstoday.com,plaintext,Employment,2017-11,
25766,FliXanity.watch,bcrypt,Streaming,2017-01,
25721,CarbsControl.com,plaintext,Health - Nutrition,2016-12,
25683,Imoveis.Pt,plaintext,,2017-11,
25614,Makeintern.com,plaintext,Employment,2017-11,
25598,TetonGravity.com,vB,Sports,2017,https://www.tetongravity.com/forums/showthread.php/310394-News-on-vBulletin-Data-Breach?s=57108dcaf365cc400256c613255cb091
25535,SimpaticoTech.it,plaintext,Shopping,2011,
25459,BeatingBonuses.com,plaintext,Gambling,,
25446,Trampolining-Online.co.uk,SHA-512,Trampolines,2015-11,
25433,Netherbox.com,WHMCS,Gaming - Minecraft,2016-03,
25299,HawkingTech.com,MD5,Technology,,
25281,DevilWarez.pl,MD5(Wordpress),File Sharing,2010-04,
25219,Adbazzaar.com,plaintext,Advertising,2017-11,
25184,Fashiontalent.club,plaintext,Fashion,2017-11,
25159,Forum.Muzyka.pl,MD5,Music,2012,
25141,TheCollectorZone.com,plaintext,Shopping,,
25124,Forum.Kampno.pl,MD5,Uncategorized,2012,
25075,LOLZTeam.com,vB,Gaming,2015-09,
25057,Babyzimmer.de,plaintext,Children,2017-11,
25057,Babyzimmer.de,plaintext,,2017-11,
25038,ArcadeHits.net,plaintext & SHA-1 & MD5,Gaming,,
25037,YoJoe.com,vB,Entertainment,2017,
24992,AimJunkies.com Forum,vB,Gaming,2012-02,
24973,PSX-Place.com,vB,Gaming,2016-03,
24940,Netgoth.org.uk,plaintext,,2017-11,
24916,PornoBoard.net,vB,Porn,2016-11,
24905,Forums.JoycityGames.com,VB & bcrypt,Gaming,,
24877,Conchology.be,plaintext,Shopping,2017-11,
24803,Arkaniaz.fr,SHA-256 & MD5,Gaming - Minecraft,2016-08,
24787,BackAlleySims.com,vB,Gaming,2015-09,
24784,ClemcoIndustries.com,no passwords,Industry,,
24773,Diablo.phx.pl,MD5,Gaming,2012,
24761,Deadc0deshop.net,vB,Gaming,2018-04,
24738,CasinoSchule.com,plaintext,Gambling,2017,
24706,RSPSCoding.org,IPB,Gaming - RuneScape,2015-03,
24649,Se-ns.com,bcrypt,Fire Alarms,2015-10,
24561,PersonalityCode.com,plaintext,,2017-12,
24521,DraftsForSale.com,plaintext,Animals,2016-12,
24502,ClubAppLive.com,MD5 & plaintext,Sports,2017-07,
24436,TMCKolkata.com,plaintext,Health - Hospital,,
24377,FSBOLocal.com,SHA-1($pass.$salt),Shopping - Real Estate,2015-12,
24363,On.br (Observatorio Nacional),MD5(salt) & bcrypt *MISSING SALTS*,,,
24334,Privateschoolsdirectory.com.au,plaintext,Education,2017-12,
24328,CamisetaCriativa.com.br,plaintext,Uncategorized,2017,
24320,Polymertrack.co.uk,plaintext,Finance,2017-11,
24303,Nbbang.net,plaintext,,2017-11,
24299,Tuitionstudio.com,plaintext,Education,2017-12,
24197,BFSIHiring.com,plaintext,Finance & Employment,2016-02,
24189,Tecnoram.it,plaintext,Shopping,2011,
24174,Velo-Talk.com,plaintext,,2017-12,
24068,HyperGen.ch,MD5,Hacking - Account Reseller,2016-05,
24015,Deways.com,bcrypt,Car Rentals,2016-05,
23993,Aceonline.co.uk,plaintext,Shopping,2017-11,
23983,CapHorniersFrancais.fr,bcrypt,History,,
23978,PharmacyOnClick.gr,MD5,Drugs,2017-03,
23977,Audio-Express.co.uk Email Addresses,no passwords,Shopping,,
23926,CatieWayne.com (Boxxy),phpBB,Entertainment,2013-03,
23889,0827ug.com,MD5,Directory,,
23858,Sandhuniforms.com,plaintext,Business,2017-12,
23807,DigitalNintendo.com,phpBB,Gaming,2016-02,
23779,GDUnlimited.net,IPB & md5(salt),Gaming,2015-12,
23743,Forum.TR.R2Games.com,vB & no passwords,Gaming,2017-03,
23727,RSNL.eu,MD5(Wordpress),Gaming - RuneScape,2012-02,
23657,PokemonUranium.com,MyBB,Gaming - Pokemon,2016-08,
23645,ILoveYourAccent.com,plaintext,Dating,2014-12,
23570,AuraTorrent.pl,MD5,Torrenting,2017-03,
23539,Rent1.net,plaintext,Rentals,2017-12,
23528,Crazylisting.ca,plaintext,Shopping,2017-11,
23486,SimCityForum.com,vB,Gaming,2016-11,
23474,Forocepos.com,VB & bcrypt,,,
23427,Imradio.Com,plaintext,,2017-11,
23405,MyWayOut.org,vB,Health,2016-11,
23400,deConcursos.com Email Addresses,no passwords,Entertainment,,
23379,Hcrapaddler.com,plaintext,Sports - Paddling,2017-11,
23362,Dogcat.com,MD5(salt),Shopping - Pet Supplies,2016-07,
23332,AllHotelMap.com,plaintext,,2017-11,
23294,Azadijobs.com,plaintext,Employment,2017-11,
23179,Big-Ce.pf,plaintext,Portal,2017-11,
23120,PogadajZNami.pl,MD5,General Discussion,2012,
23113,Legion.cm,bcrypt,Gaming,2013-08,
23106,Airstream.com,MD5(salt) & no passwords,Travel,2013-09,
23069,Bez-Kabli.pl,MD5,Technology,2012,
23043,SilikonBabe.se,MD5 & no passwords,Porn,,
23032,QuantShare.com,plaintext,Software - Trading,,
22971,PopReport.co.uk,MD5,Entertainment,,
22957,Duen.hu,plaintext,Car Racing,2017-11,
22891,UltimateBitcoinBuilder.com,plaintext,Cryptocurrency,2017-08,
22811,CarteStraina.ro,MD5,Shopping,,
22771,THJardins.com.br,MD5,Agriculture,2017,
22762,Individual-Game.ru,plaintext,Gaming,2015-04,
22731,Caro.ro,plaintext,Shopping,2017-11,
22676,Librairie-Archimede.com,plaintext,Books,2017-11,
22601,AsylumStresser.com,SHA-1,Booter,2014-10,
22569,Gobpo.com,plaintext,Real Estate,,
22550,BSCIResourceCenter.com,no passwords,Health,2016-12,
22541,Amazon.com [PARTIAL],plaintext,Shopping,,
22533,OPM.gov [PARTIAL] (United States Office of Personnel Management),base64,Government,,
22529,Unicor.gov,base64,Government,2014,
22519,Properapartments.com,plaintext,Real Estate,2017-12,
22510,Flyinside.com,plaintext,Software,2017-11,
22502,Eforemployment.com,plaintext,,2017-11,
22461,Facenama.com,MD5,Social Media,2015-01,
22383,DivineVPN.com,MD5,Virtual Private Network,,
22324,iPvP.org Transaction Logs (2012-2015),no passwords,Gaming - Minecraft,2015,
22312,RadikalGamez.net,plaintext,Gaming,2013-04,
22297,SnipersParadise.com,VB & bcrypt,,,
22280,Beautysecrets.co.za,plaintext,Shopping,2017-11,
22272,H4TalentCRM.com,MD5 & plaintext,Technology,,
22262,E-Mlodzi.com,MD5,General Discussion,2012,
22162,Experimental.ro,plaintext,Magazine,2017-11,
22092,Australianschoolsdirectory.com.au,plaintext,Education,2017-11,
22091,CustomCombatGaming.com,MD5 & IPB,Gaming,2015-09,
22029,D-Gem.de,plaintext,Shopping,2017-11,
22020,ForumSEP.pl,MD5,Construction,2012,
22007,JuicedMuscle.com,vB,Bodybuilding,2016-11,
21957,Maryno.net,vB,Hacking,2016-07,
21956,RageBooter.com,SHA-1 & no passwords,Booter,2013-05,
21887,Hobesoundhomesandproperty.com,plaintext,Real Estate,2017-11,
21887,Lindawang888.com,plaintext,Real Estate,2017-11,
21851,Choyongpil.net,MySQL4 & no passwords,,2017,
21821,Pvpav.com,MD5,Real Estate,2012,
21810,Holybible.us,plaintext,Religion,2017-11,
21806,Northatlanticrealty.com,plaintext,Real Estate,2017-11,
21803,Envisionsedona.com,plaintext,Real Estate,2017-11,
21803,Progressiverealtyinatl.com,plaintext,Real Estate,2017-12,
21803,Progressiverealtyinatl.com,plaintext,,2017-12,
21803,Randykellogg.com,plaintext,Real Estate,2017-12,
21803,Realestatebz.com,plaintext,Real Estate,2017-12,
21801,Amdreamsrealty.com,plaintext,Real Estate,2017-11,
21801,Blackpointre.com,plaintext,Real Estate,2017-11,
21801,Texwr.com,plaintext,Real Estate,2017-12,
21780,Reidparkbb.com,plaintext,Sports - Golf,2017-11,
21778,LasVegasDirect.com,VB & bcrypt,Hotels,,
21713,ForumKorner.com,MyBB,Gaming,2013-03,
21710,Forum.MitsuManiaki.pl,MD5,Vehicles,2012,
21682,YourWarez.pl,MD5,File Sharing,2012,
21616,ArenaBG.com,vB,Torrenting,2012-11,
21611,Hartsalesteam.com,plaintext,Real Estate,2017-11,
21568,Gites-in-France.co.uk,plaintext,Real Estate,2017-11,
21552,Zuxel.com,MD5,Technology,2015-08,
21538,OrganForum.com,VB & bcrypt,,,
21499,EnhanceViews.com,vB,Social Media Promotion,2013-09,
21471,Fishingevolution.com,plaintext,Fishing,2017-11,
21471,Topratedrealty.com,plaintext,Real Estate,2017-12,
21439,BTC4Free.com,plaintext,Cryptocurrency,2014-01,
21372,Fivb.org,plaintext,Sports - Volleyball,2017-11,
21358,OxPvP.org,no passwords,Gaming - Minecraft,,
21352,WalkingDeadForums.com,VB,TV Series,2017-01,
21342,OwlGaming.net Forums,IPB & md5(salt),Gaming,2015-12,
21327,Emo-Forum.pl,MD5,Lifestyle,2012,
21294,EngineerBoards.com,IPB,Engineering,2015-11,
21277,VectorLinux.com,SMF,Software - Linux,2016-04,
21230,TheWhole9.com,plaintext,Community,2016-09,
21224,Sanshou.net,plaintext,Sports - Martial Arts,2017-12,
21202,CrackCommunity.com,MyBB,Cracking,2015-08,
21162,Bit-Torrent.kiev.ua,vB,Torrenting,2016-07,
21159,TheCompleteActor.com,MD5(Wordpress),Blog,,
21140,CallCarl.net,plaintext,Real Estate,2017,
21112,Pittsburghcityhomes.com,plaintext,Real Estate,2017-12,
21064,Tvtvtv.ru,MD5,Streaming,2015-10,
21057,Amh-Sales.com,plaintext,Real Estate,2017-11,
21026,Drrobertmartin.com,plaintext,Health,2017-11,
20960,Pension.Spreewelten.De,plaintext,,2017-12,
20895,PackagingFloor.com,bcrypt,Packaging,,
20864,CompuDoc.nl,MD5,Technology,2018-07,
20837,Ce-Multiavantages.com,plaintext,Business,2017-11,
20774,Printswithwings.com,plaintext,Design,2017-12,
20715,iWinnersAdvantage.com,MD5,Gambling,2012-04,
20705,Short-Fiction.co.uk,MD5,Books,2016-05,
20678,Letrasyletras.Com,plaintext,,2017-11,
20662,Roytawan.com,SMF,Food & Drink - Coffee,,
20656,Enchantedworkshops.co.uk,plaintext,,2017-11,
20649,1394store.com,plaintext,Shopping,2016-06,
20617,Banluegroup.com,plaintext,Publishing,2017-11,
20583,EternityProject.eu,IPB,Software,2015,
20536,NovaPublishers.com,osCommerce,Publishing,,
20529,Radiostyrt.no,VB & bcrypt,Technology,,
20474,Gmina.e-Sochaczew.pl,MD5,Community,,
20465,Physiouk.co.uk,plaintext,Health - Fitness,2017-12,
20445,Theatrotheque.com,plaintext,Shopping,2017-12,
20430,Alexey.R52.ru,MD5,Blog,,
20407,Pirate4x4.no,VB,Vehicles - Cars,2019-07,
20390,Ebreast.co.kr,MySQL4,,,
20355,Androidsis.com,vB,Technology,2016-11,
20322,GearHeads.in,vB,Vehicles,2017,
20315,Lozagan.pl,MD5,Education,2012,
20312,Selectsmart.com,plaintext,Quizzes,2017-12,
20272,Brgen.xyz,plaintext,Hacking - Account Reseller,2016-12,
