Database Name,Leak Date,Size,What's Inside,Description
GamerSoul Forums,2017-00,"163,557",,
You Porn,2014,"2,670,671",,
Rambler.ru,2012-02,"91,436,280",,
PixelMon.fr,2016-04-22,"35,054",,
Ikov,2015-01,"316,583",,
Adobe,2013-10-01,"153,004,874","Emails, Passwords and Password Hints","Adobe, an American multinational computer software company was hacked in 2013 exposing over 150 million accounts"
The War Inc,2014-00,"501,439",,
Experian,2015-08-01,"27,835,330","First Names, Last Names, Emails, IPs, Addresses, Cities, States, Zips, DOBs and Phone Numbers","Experian is an online Credit report site, IN August of 2015 a leak exposed 27 million T-Mobile users related to Experian."
BizBilla,0000-00,"182,190",,
American Mafia,0000-00,"14,345",,
FileIce Forums,2015-05,"5,013",,
Youku,2016-00,"100,244,186",,
Scrolls Of Lore,2015-05,"60,815",,
CD Projekt Red Forums,2016-03,"1,871,469",,
Double Inks,2016-06,"126,604",,
Shadow Universe,2016-05-07,"4,231",,
ForumFree.it,2016-06-01,"960,118","Usernames, Emails and Passwords",ForumFree.it is a french website for making forums for free
XHamster Partial,2016-10,"378,990",,
Manga Traders,2014-06,"902,900",,
Avast.com Forum,2014-05-26,"422,986","Emails, Usernames, Names, IPs and Passwords","In May 2014, the Avast anti-virus forum was hacked and 423k member records were exposed."
PokemonStad.nl,2015-12,"17,996",,
Carder Pro,2013-04,"121,241",,
BodyBuildingForums.com (VB Exploit),2016-11,"3,712",,
ModBSolutions,2016-10,"56,739,181",,
SilentCheats.net (VB Exploit),2016-11,"8,902",,
143 VPN,2014-03,586,,
CPPS.me Club Penguin Server,2016-00,"2,027,272",,
Last.fm,2012-03,"43,570,999",,
Acne Leak 2,2015-03,"48,633",,
DaniWeb,2016-04,"1,131,511",,
Darkode.cc Malware Forum,2017-01,144,,
Just Date,0000-00,"24,551,071",,
Black Hat Devil SEO Forum,2016-09,"27,968",,
UGMuscle.com (VB Exploit),2016-11,618,,
figuremergenti.it,2016-09,"107,374",,
NarutoBase,2016-01,"232,166",,
ummahboard.com (VB Exploit),2016-11,157,,
ExileMod,2016-08,"83,171",,
kav3udmxn34tke34.onion (Freedom Hosting),2017-02,"45,221",,
InterPals,2015-11,"3,450,450",,
iphonemodding.com (VB Exploit),2016-11,"13,882",,
gPotato.com,2007,"1,891,758",,
Unreal Engine Forum,2016-08,"530,590",,
Body Jewellery Shop Forums,2017-01,"606,922",,
Ask Gamblers,2016-02,"68,339",,
SEO Chat Forum,2016-07,"304,128",,
Cs-Kings.biz Forums,2016-07,"41,123",,
Draft Smarts,0000-00,"2,751",,
Hypergen.ch,2016-05,"24,067",,
Gmail.com (Merged Databases),2014-09-01,"4,929,728",Emails and Passwords,"The Gmail dump was originally posted on a Russian Hacking forum in 2014, the breach is thought to originate from several different breaches and not a violation of the site"
BitCoin Rush.io,2016-07,"12,846",,
UAFClan.com (VB Exploit),2016-11,"1,752",,
My Repo Space,2015-04,"254,429",,
FutHead Forums,0000-00,"14,692",,
pr-rp.com (VB Exploit),2016-11,"3,175",,
MSDperformance.com (VB Exploit),2016-11,"26,343",,
W0rm Forum,2015-01-01,324,"Usernames, Emails, IPs and Passwords","W0rm.ws is a well known forum for hackers and those who like to trade hacked dbs, a bit ironic."
17.media,2013-03-18,"28,052,322","Emails, Usernames, IPs, Phone Numbers and Passwords","17 Media, live video streaming service."
TWCenter Forums,2016-08,"537,045",,
Pokemon Uranium,2016-08-17,"23,656",,
forums.zarafa.com (VB Exploit),2016-11,"7,936",,
FoxIt Software Forums,2015-10,"514,049",,
COD247/FPS247 Forums,2016-02,"82,461",,
BF1942.sk,0000-00,"230,333",,
Gawker,2010-12,"1,247,846",,
Pregnancyforum.org.uk (VB Exploit),2016-11,"43,647",,
Doom9 Forums,2016-05,"71,602",,
Twitter.com,2016-06,"38,065,682",,
MVHacks,2014-08,"56,859",,
LookBook.nu,2016-05-01,"1,108,350","Names, Birthdates, Cities, Usernames, Emails, IPs and Passwords",Lookbook is an online fashion site
ZoomIn TV,2017-04,"10,305",,
Auto Geek Online,2016-10,"41,207",,
DevX,2016-07,"48,264",,
GratisGodis,0000-00,"259,176",,
Apex Booter,2013-07,6,,
Kryptic Booter,0000-00,"1,240",,
LinkedIn.com,2012-06-05,"167,370,909",Emails and Passwords,Hacked in 2012 this breach was kept in the dark for 4 years until recently when it was sold on the dark market
Gamigo.com,2012-03-01,"8,261,507",Emails and Passwords,"In 2012 the online Game Publisher, Gamigo was hacked, revealing emails and passwords stored in MD5 with no Hash."
Dead People Leak,2016-12,"85,822,194",,
Ausbb.com (VB Exploit),2016-11,"11,590",,
46vnnzhzwdvfe774.onion (Freedom Hosting),2017-02,"46,445",,
U and Me Instant Messaging,0000-00,"202,648",,
dbi4nsk4lbwdhufr.onion (Freedom Hosting),2017-02,"4,704",,
EverMotion,2015-05,"439,733",,
RealForums.org (VB Exploit),2016-11,"1,194",,
ArenaBG,2012-11,"21,615",,
dev.dota2.com (partial),2016-07,"1,618,193",,
Tuxedo Crew Carding Forum,2017-01-25,"149,807",,
Fling Dating Site,2011-03-01,"40,769,710","DOBs, Genders, Phone Numbers, Emails, Usernames, IPs and Password","The ""World's Best Adult Social Network"" AKA Fling was hacked revealing very sensitive information."
BattleScape,2012-05,"2,633",,
TheGoodDrugsGuide.com (VB Exploit),2016-11,"80,415",,
s7yzinqketc6k6ke.onion (Freedom Hosting),2017-02,"48,616",,
AnAndTech,2016-00,"365,686",,
Twitter 2011,2011-00,"2,499,935",,
Netease Email Provider,2015-10-01,"288,584,655","Usernames, Emails and Passwords","Netease is one of China's biggest email providers, the leaks exposed passwords stored in plaintext and some in a weak MD5"
forum.pitofwar.com (VB Exploit),2016-11,"1,308",,
Capital Games,2015-11,"641,212",,
MSPA Forums,2016-03,"180,929",,
OVH & Kimsufi,2015-05,"969,083",,
DDO.com (Dungeons and Dragons Online),2013-02,"1,645,528",,
BitsHacking Forum,2014-03,"41,348",,
Studio71,2017-04,"1,478",,
EdaBoard,2015-00,"459,212",,
Hacker.co.kr,2010-00,"1,414,875",,
SoulSplit,2014-01,"267,228",,
eSportsindo.com (VB Exploit),2016-11,"2,270",,
VIP-Cheats.net (VB Exploit),2016-11,129,,
ArmyForce Online,2016-06,"1,789,161",,
vb4.pixelgoose.com (VB Exploit),2016-11,"1,747",,
Doge Wallet,2014-01,"28,299",,
Script Mafia,2016-09-18,"1,844",,
Passions Network,2017-01,"762,367",,
galaxys4forums.net (VB Exploit),2016-11,"15,189",,
ACParadise,2016-07,"55,184",,
PCFarm,2016-03,"33,036",,
SendSpace,2012,"27,524",,
Metruyen,2017-01,"48,305",,
Prosap-Hotel.nl,2015-11,"106,969",,
forums.nodoubt.com (VB Exploit),2016-11,"16,022",,
Epic NPC,2013-00,"202,648",,
mixbizz.com (VB Exploit),2016-11,87,,
elluel.net (VB Exploit),2016-11,"15,151",,
politicalforum.com (VB Exploit),2016-11,"31,628",,
airsociety.net (VB Exploit),2016-11,"6,027",,
BinWeevils,2014-01,"1,022,883",,
usdhyip.com (VB Exploit),2016-11,145,,
SCI.Rutgers.edu,2017-01,"329,283",,
Carding Mafia New 2017,2017-01-24,"232,510",,
Fashion Fanytasy Forums,2016-00,"2,447,297",,
burningwheel.com (VB Exploit),2016-11,"4,269",,
LOTRO.com (The Lord Of The Rings Online),2013-08-01,"1,358,361","Usernames, Emails, IPs and Passwords","In August 2013, Lord of the Rings Online an online multiplayer game was hacked."
XpGameSaves,2016-01,"892,254",,
Auto Hot Key,2015-12,"88,872",,
Parapa.mail.ru,2016-08,"5,030,536",,
Xbox-Scene Forums,2015-10,"455,497",,
BadBuzz.ir,2016-04,"330,157",,
Badoo,2013-08-01,"127,380,565","Names, Usernames, DOBS, Genders, Emails and Passwords","This breach from the dating site Badoo is still yet to be confirmed as real, but we added it none-the-less"
000webhost.com,2015-03-01,"15,271,728","Emails, IPs, Names and Passwords","000webhost, a free hosting company."
SWGReckoning.com (VB Exploit),2016-11,"4,502",,
PokeCommunity 2015 New,2015-09-15,"503,802",,
